group,metric,direction,n,mean,std,median,p05,p25,p75,p95
all,cosine,higher=more_consistent,361644,0.9999465346336365,7.124482362996787e-05,0.999963641166687,0.9998610615730286,0.999941349029541,0.9999762177467346,0.999985933303833
all,corr,higher=more_consistent,361644,0.9999465346336365,7.12448891135864e-05,0.999963641166687,0.9998610615730286,0.999941349029541,0.9999762177467346,0.9999858736991882
all,l2,lower=more_consistent,361644,0.26357367634773254,0.11535193771123886,0.2372843623161316,0.1476316601037979,0.19181135296821594,0.30125606060028076,0.4635399580001831
all,l1,lower=more_consistent,361644,5.832968235015869,2.5528087615966797,5.250518321990967,3.266864776611328,4.245348930358887,6.667200088500977,10.255308151245117
tumor,cosine,higher=more_consistent,125079,0.9999672174453735,2.6799159968504682e-05,0.9999737739562988,0.9999260902404785,0.9999613761901855,0.9999814629554749,0.9999878406524658
non_tumor,cosine,higher=more_consistent,236565,0.9999357461929321,8.386914123548195e-05,0.9999562501907349,0.9998292922973633,0.9999301433563232,0.9999711513519287,0.9999832510948181
tumor,corr,higher=more_consistent,125079,0.9999672174453735,2.6799172701430507e-05,0.9999737739562988,0.9999260902404785,0.9999613761901855,0.9999814629554749,0.9999878406524658
non_tumor,corr,higher=more_consistent,236565,0.9999357461929321,8.386921399505809e-05,0.9999562501907349,0.9998292922973633,0.9999301433563232,0.9999711513519287,0.9999832510948181
tumor,l2,lower=more_consistent,125079,0.21504530310630798,0.06755276024341583,0.20149454474449158,0.13708552718162537,0.16939294338226318,0.24456122517585754,0.3381761312484741
non_tumor,l2,lower=more_consistent,236565,0.289232075214386,0.12659020721912384,0.2602176070213318,0.1609504669904709,0.21139930188655853,0.32871922850608826,0.5138382911682129
tumor,l1,lower=more_consistent,125079,4.759668350219727,1.494935154914856,4.460341453552246,3.032010316848755,3.748420238494873,5.413616180419922,7.48287296295166
non_tumor,l1,lower=more_consistent,236565,6.40045166015625,2.8017375469207764,5.758679389953613,3.5618319511413574,4.678483009338379,7.275568008422852,11.37087631225586
