group,metric,direction,n,mean,std,median,p05,p25,p75,p95
all,cosine,higher=more_consistent,361644,0.9735908508300781,0.01407911442220211,0.9766116142272949,0.9469555020332336,0.9672728776931763,0.9833990931510925,0.9895942807197571
all,corr,higher=more_consistent,361644,0.9735908508300781,0.01407911442220211,0.9766116142272949,0.9469553828239441,0.9672728776931763,0.9833990335464478,0.9895942211151123
all,l2,lower=more_consistent,361644,6.190665245056152,1.5990240573883057,6.0172014236450195,4.014744758605957,5.070293426513672,7.11768913269043,9.060030937194824
all,l1,lower=more_consistent,361644,136.88626098632812,35.35808181762695,133.0272216796875,88.81166076660156,112.15301513671875,157.3299560546875,200.35328674316406
tumor,cosine,higher=more_consistent,125079,0.9767029881477356,0.01345632504671812,0.9802287220954895,0.9513590335845947,0.9717557430267334,0.9856851100921631,0.9903185367584229
non_tumor,cosine,higher=more_consistent,236565,0.9719454050064087,0.014123033732175827,0.9746577739715576,0.9452884793281555,0.9653734564781189,0.9816495776176453,0.9888162612915039
tumor,corr,higher=more_consistent,125079,0.9767029881477356,0.013456325978040695,0.9802287817001343,0.9513589143753052,0.9717557430267334,0.9856851100921631,0.9903184175491333
non_tumor,corr,higher=more_consistent,236565,0.9719454050064087,0.014123034663498402,0.9746577739715576,0.9452885389328003,0.9653736352920532,0.9816495776176453,0.9888163208961487
tumor,l2,lower=more_consistent,125079,5.808194637298584,1.5321837663650513,5.53360652923584,3.872753143310547,4.70889949798584,6.613685131072998,8.677924156188965
non_tumor,l2,lower=more_consistent,236565,6.39288854598999,1.5966519117355347,6.262481689453125,4.16213321685791,5.329922676086426,7.320313930511475,9.20116901397705
tumor,l1,lower=more_consistent,125079,128.5149688720703,33.87574768066406,122.48053741455078,85.61277770996094,104.25041198730469,146.3427734375,191.99851989746094
non_tumor,l1,lower=more_consistent,236565,141.31240844726562,35.32439041137695,138.39532470703125,91.9791030883789,117.80302429199219,161.8294219970703,203.50108337402344
