slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.43529412150382996,0.47058823704719543,0.9996885510372568,0.9892620849287983,0.8364235990742473,0.7103707194328308,0.7131893038749695
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.34117648005485535,0.3960784375667572,0.9987047678057349,0.978627196469919,0.7894769366585046,0.6679151058197021,0.666743278503418
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.38823530077934265,0.43921568989753723,0.999454552345672,0.9800250288695985,0.7689878306241938,0.6925168633460999,0.6812959313392639
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.45098039507865906,0.48235294222831726,0.9996720722561594,0.9962154412750888,0.9395390107508163,0.7182674407958984,0.7324065566062927
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.4470588266849518,0.47843137383461,0.9990079773779293,0.9960249510202442,0.9416693589568913,0.7207261323928833,0.729296863079071
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.48235294222831726,0.4941176474094391,0.9995468335198182,0.9969164195536818,0.9058872968861656,0.7333409786224365,0.7400046586990356
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.23529411852359772,0.3450980484485626,0.9824468023749219,0.9519975488469189,0.9161079718602816,0.6261872053146362,0.6598116159439087
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.25882354378700256,0.364705890417099,0.940050194367223,0.9657255460454451,0.9791001932099389,0.6326669454574585,0.6783853769302368
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.239215686917305,0.3529411852359772,0.9375437717622903,0.9592758115178482,0.9678789661143279,0.6190640330314636,0.6708179712295532
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.1882352977991104,0.32549020648002625,0.9911360636476441,0.9121348754815702,0.8418724309134469,0.5965456366539001,0.6263786554336548
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.4313725531101227,0.48235294222831726,0.9971672975293363,0.9908537163194718,0.8918660668072529,0.7133731245994568,0.7252603769302368
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.42352941632270813,0.42352941632270813,0.9677922223448976,0.9775589162249791,0.6216607638934195,0.6976792216300964,0.6899356842041016
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.3686274588108063,0.364705890417099,0.9480918395428127,0.9867279034076448,0.8328903498473038,0.6888327598571777,0.692585825920105
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.3607843220233917,0.3843137323856354,0.9434234008578853,0.9850421206505384,0.8663599825673463,0.7026883959770203,0.7122012972831726
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.32549020648002625,0.33725491166114807,0.9303837413754179,0.9943378244663339,0.9698169331378393,0.7006893157958984,0.7019684314727783
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,15,tile15_L-1_Havg.png,tile15_L-1_Havg.png,779,779,0.3450980484485626,0.37254902720451355,0.9416750021834385,0.9861242044610751,0.8857825092029763,0.6994102001190186,0.7122012972831726
