slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.4156862795352936,0.4156862795352936,0.9946757058273914,0.9932219816670821,0.8844673169368595,0.7030254602432251,0.6983992457389832
TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.35686275362968445,0.4000000059604645,0.9915809907372771,0.9873908205375459,0.8620867316683489,0.6670113801956177,0.6891084909439087
TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4745098054409027,0.4941176474094391,0.997135987845251,0.9950329974766051,0.8327491686887002,0.736504316329956,0.7174096703529358
TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4745098054409027,0.48627451062202454,0.9965032026511063,0.9986306364761106,0.9565914026098965,0.7326516509056091,0.7336626648902893
TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.27450981736183167,0.27450981736183167,0.9559571617606589,0.9768209494747628,0.7721007306233505,0.6454963684082031,0.6649892926216125
TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.2235294133424759,0.26274511218070984,0.9287968347557268,0.9765862699853907,0.8767058592019603,0.6532858610153198,0.6494332551956177
TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.29019609093666077,0.3333333432674408,0.9485268793637872,0.9792792908201173,0.8224740758587333,0.6605468988418579,0.7053079009056091
TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.3450980484485626,0.3764705955982208,0.9955935739345232,0.9914198559057991,0.9058334439892437,0.6613051891326904,0.6871170401573181
TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.250980406999588,0.32156863808631897,0.9554397280341967,0.9360276554968754,0.38433901507762513,0.6759880781173706,0.6070618629455566
TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.34117648005485535,0.34117648005485535,0.9378403898220457,0.9867604855999141,0.9067813889001237,0.692585825920105,0.7045266628265381
