slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.3333333432674408,0.37254902720451355,0.9693082702058694,0.9900132923982019,0.8851370052587002,0.6520297527313232,0.6755132079124451
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.43921568989753723,0.4470588266849518,0.9741382009455525,0.9969028407014506,0.9246062931851801,0.7148284316062927,0.7148284316062927
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.29019609093666077,0.32156863808631897,0.9823775914943124,0.9913940468417435,0.94440398154882,0.6448529362678528,0.6573835611343384
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4745098054409027,0.4941176474094391,0.9858892197461938,0.9975832218271055,0.9447822207465144,0.7338235378265381,0.7378216981887817
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.13333334028720856,0.16470588743686676,0.9468064946172061,0.9839496913492225,0.9057316774245338,0.6270143985748291,0.6105391979217529
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.47058823704719543,0.48627451062202454,0.976041500162316,0.9975003246739833,0.9393102589123457,0.7288832664489746,0.7346047759056091
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.45098039507865906,0.4745098054409027,0.9945801288970257,0.9981455021447517,0.9718681601646956,0.7216835021972656,0.728079080581665
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.18431372940540314,0.19607843458652496,0.9292928460667621,0.9893320260789138,0.9641967926065818,0.6655943393707275,0.6670496463775635
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.21568627655506134,0.19607843458652496,0.9358942457744286,0.9783293241875455,0.9799224300819921,0.6909006834030151,0.6720128655433655
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.13333334028720856,0.1411764770746231,0.9336383006421781,0.9877616431427306,0.971027505255675,0.6330575942993164,0.5860141515731812
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.47843137383461,0.4901960790157318,0.9576561240918132,0.9986795005086584,0.9513603495811319,0.7348728179931641,0.7318397760391235
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.29411765933036804,0.35686275362968445,0.9518424101206082,0.9847176532023936,0.9188701923075971,0.6347272992134094,0.675896167755127
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.3607843220233917,0.3686274588108063,0.995428786123548,0.9931247809843404,0.8961776859503242,0.6798406839370728,0.6696537733078003
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.45490196347236633,0.4588235318660736,0.9986273175345766,0.9967189092969212,0.9125194720012183,0.7250076532363892,0.7168657779693604
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.4470588266849518,0.45490196347236633,0.998744316880369,0.9985933656074135,0.9690333877364683,0.7209558486938477,0.7215533256530762
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,15,tile15_L-1_Havg.png,tile15_L-1_Havg.png,779,779,0.33725491166114807,0.364705890417099,0.9938863722128202,0.9879434227585729,0.9162163277091585,0.6649892926216125,0.673943042755127
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,16,tile16_L-1_Havg.png,tile16_L-1_Havg.png,779,779,0.364705890417099,0.40784314274787903,0.9795317059987707,0.9904083408376785,0.9236231868966207,0.6821767687797546,0.6974723935127258
TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e_patches_images,conch,hoptimus,17,tile17_L-1_Havg.png,tile17_L-1_Havg.png,779,779,0.32549020648002625,0.33725491166114807,0.9821617194619349,0.9911884426577292,0.9047715325514654,0.6579733490943909,0.6654641628265381
