slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.4313725531101227,0.43529412150382996,0.984579156648941,0.9953543202714952,0.9169320484717196,0.708938479423523,0.7134497165679932
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.46666666865348816,0.48235294222831726,0.9991645257983558,0.9988576052847119,0.973513384424896,0.7333409786224365,0.736504316329956
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.3450980484485626,0.4941176474094391,0.9363556516451591,0.9822695781284152,0.8588378489758716,0.717409610748291,0.7242876887321472
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.47058823704719543,0.4941176474094391,0.9671165923198993,0.9915947592411253,0.9264535124822794,0.7290824055671692,0.7490578889846802
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.4117647111415863,0.43921568989753723,0.999329313609331,0.9792142468177597,0.6845842792823259,0.6977864503860474,0.6701516509056091
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.46666666865348816,0.48627451062202454,0.9993573275371967,0.9987135345463126,0.981244105290129,0.7296874523162842,0.7366498112678528
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.3137255012989044,0.32156863808631897,0.9842017925618078,0.995970782655317,0.9455525377693785,0.650214433670044,0.6626991033554077
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.19607843458652496,0.4313725531101227,0.9432404863877029,0.9635771865521064,0.6483506120370021,0.6769837737083435,0.6734834909439087
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.21176470816135406,0.2980392277240753,0.949218988169883,0.9543382459549574,0.7706992576936734,0.6570925712585449,0.6585783958435059
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.27843138575553894,0.29411765933036804,0.9631748678813725,0.9839887961352473,0.9530184092441444,0.692585825920105,0.6950061321258545
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.250980406999588,0.3019607961177826,0.95687997350212,0.9510256957585268,0.5824673903245784,0.6554687023162842,0.6105698347091675
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.2823529541492462,0.364705890417099,0.969603240387515,0.9626416610405711,0.8185713243873233,0.6992111206054688,0.7139322757720947
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.46666666865348816,0.48627451062202454,0.9941038921233074,0.9988217227142934,0.9800416522039895,0.7286917567253113,0.7379825711250305
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.46666666865348816,0.4901960790157318,0.9084455401002899,0.9980372959070826,0.9771867650723438,0.7198989391326904,0.7332950234413147
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.1882352977991104,0.25882354378700256,0.9392773395337494,0.9651524223158012,0.8225614959372962,0.6488970518112183,0.6416820287704468
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,15,tile15_L-1_Havg.png,tile15_L-1_Havg.png,779,779,0.23529411852359772,0.23529411852359772,0.9423456885741075,0.9874702238919596,0.9509318235431866,0.6526118516921997,0.6534926891326904
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,16,tile16_L-1_Havg.png,tile16_L-1_Havg.png,779,779,0.20392157137393951,0.21960784494876862,0.9291824382334087,0.9894090111884432,0.9510644002358356,0.6377221345901489,0.6536075472831726
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,17,tile17_L-1_Havg.png,tile17_L-1_Havg.png,779,779,0.1921568661928177,0.2235294133424759,0.9218823382072074,0.9932336975766387,0.9806159119808724,0.64453125,0.6579733490943909
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,18,tile18_L-1_Havg.png,tile18_L-1_Havg.png,779,779,0.32549020648002625,0.49803921580314636,0.9708210223106217,0.9564319340895826,0.502496271071933,0.716911792755127,0.6863510608673096
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,19,tile19_L-1_Havg.png,tile19_L-1_Havg.png,779,779,0.3176470696926117,0.3803921639919281,0.9753296168189032,0.9841086893989404,0.9415824343836595,0.6598116159439087,0.6814797520637512
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,20,tile20_L-1_Havg.png,tile20_L-1_Havg.png,779,779,0.18431372940540314,0.24313725531101227,0.9368994514213773,0.9777221460633045,0.9134314307348185,0.6612591743469238,0.686328113079071
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,21,tile21_L-1_Havg.png,tile21_L-1_Havg.png,779,779,0.21568627655506134,0.2862745225429535,0.9544954938773089,0.9461083748123175,0.7088498402555344,0.6415441036224365,0.6278339624404907
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,22,tile22_L-1_Havg.png,tile22_L-1_Havg.png,779,779,0.27843138575553894,0.27450981736183167,0.9676208430214834,0.9733958667960524,0.831808862217068,0.6540900468826294,0.6649892926216125
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,23,tile23_L-1_Havg.png,tile23_L-1_Havg.png,779,779,0.2078431397676468,0.22745098173618317,0.9137220458077157,0.9928497825599599,0.9585688807219415,0.672326922416687,0.6876914501190186
TCGA-KM-8439-01Z-00-DX1.F99904A8-21AB-476A-BFE5-B8FAB44FEB4D_patches_images,conch,hoptimus,24,tile24_L-1_Havg.png,tile24_L-1_Havg.png,779,779,0.25882354378700256,0.26274511218070984,0.951890198585791,0.9838810672256788,0.9137105000153607,0.6475183963775635,0.6591375470161438
