slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.2666666805744171,0.3490196168422699,0.9667853688198391,0.974935452030884,0.9024346185495753,0.6418122053146362,0.6640471816062927
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.2862745225429535,0.37254902720451355,0.9779052503044455,0.9711474504145101,0.9003333560105254,0.6456954479217529,0.669921875
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4745098054409027,0.49803921580314636,0.996186810054034,0.9941471784454157,0.8591111111110281,0.7346047759056091,0.7240885496139526
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.3333333432674408,0.40784314274787903,0.9452871510000148,0.9882987869553826,0.953743957520076,0.7181755304336548,0.7366498112678528
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.23137255012989044,0.2823529541492462,0.970819374432512,0.9591915717627646,0.8919836208362892,0.6811428070068359,0.7051163911819458
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.4627451002597809,0.49803921580314636,0.9742650875600034,0.9907351770523037,0.8700358273462296,0.7253676652908325,0.7329963445663452
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.4156862795352936,0.4431372582912445,0.9605415586619889,0.9958242800952113,0.9414539546096817,0.7045113444328308,0.7144761085510254
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.21176470816135406,0.250980406999588,0.9423638152333148,0.9792706492522395,0.8926983360494867,0.6655943393707275,0.6978859901428223
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.1921568661928177,0.21960784494876862,0.9329791493982773,0.9825986333472665,0.931280565875267,0.6169806718826294,0.6321691274642944
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.18431372940540314,0.22745098173618317,0.9325589404802905,0.9768444048517407,0.9611088567583281,0.6190104484558105,0.6337546110153198
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.19607843458652496,0.2235294133424759,0.9245123516703716,0.9901003321768347,0.9740759360859282,0.6234451532363892,0.638219952583313
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.2078431397676468,0.22745098173618317,0.947305801684461,0.9775435136203708,0.904244797242778,0.628615140914917,0.6454963684082031
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.4000000059604645,0.43529412150382996,0.9782150513890788,0.9946004446919479,0.9477205206573464,0.6991192102432251,0.7090303301811218
