slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.32549020648002625,0.3960784375667572,0.9423308576711198,0.9749491878965402,0.8554763694490941,0.658203125,0.6669041514396667
TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.1882352977991104,0.2705882489681244,0.9999093667039637,0.9082511836905627,0.5918446342765221,0.5895373821258545,0.5361213684082031
TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.18039216101169586,0.27450981736183167,0.9954782224668406,0.9060438747232221,0.9961695292226732,0.5920572876930237,0.6736212968826294
TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.18431372940540314,0.27450981736183167,0.9994908056640867,0.9432428689844516,0.8381488690261685,0.6008195877075195,0.6025275588035583
TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.15294118225574493,0.23137255012989044,0.9260020334815874,0.9728443745771028,0.9942151169307615,0.5441865921020508,0.6244485378265381
TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.15294118225574493,0.22745098173618317,0.9484263587990923,0.9628452841106729,0.983628740655185,0.5950137972831726,0.6260340213775635
TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.19607843458652496,0.22745098173618317,0.9460023300996472,0.9804360136951861,0.9768461402889301,0.6392769813537598,0.6460707783699036
TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.2235294133424759,0.30980393290519714,0.9490212427967128,0.9626572191791688,0.6615912934007239,0.6846354007720947,0.6532705426216125
TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.21568627655506134,0.250980406999588,0.9508190778144522,0.9591008650667954,0.8730216356767039,0.6439031362533569,0.6397517919540405
TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.4627451002597809,0.49803921580314636,0.9794575514838318,0.9887198331360433,0.8955618051144683,0.731809139251709,0.7348728179931641
