slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.4588235318660736,0.4745098054409027,0.9741579754828695,0.9976661137653702,0.9511970139007045,0.7227328419685364,0.7340686321258545
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.42352941632270813,0.4470588266849518,0.9649150271652707,0.9959083006592881,0.9493370107138062,0.7091375589370728,0.7171875238418579
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.43921568989753723,0.43921568989753723,0.9378222631628383,0.9987352429899635,0.9627757253655495,0.7174632549285889,0.7147594690322876
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4588235318660736,0.47058823704719543,0.9665711446655714,0.998214124867592,0.9668596504566475,0.727902889251709,0.7282781600952148
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.47058823704719543,0.4941176474094391,0.9900748301449639,0.994705759149497,0.8707904485521784,0.7319240570068359,0.7270220518112183
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.4745098054409027,0.4941176474094391,0.9836596406636994,0.9921079640993165,0.750241580051321,0.724494457244873,0.708869457244873
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.4745098054409027,0.4941176474094391,0.992479084307092,0.9931001218966772,0.7442307373721697,0.7365732192993164,0.7047793865203857
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.4470588266849518,0.46666666865348816,0.9802979693198054,0.9969616911109305,0.9586879092284686,0.7222656011581421,0.7282322645187378
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.4313725531101227,0.47058823704719543,0.9903269554957559,0.9788749946208024,0.681639750043607,0.713947594165802,0.6945006251335144
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.4431372582912445,0.45098039507865906,0.9745303959356735,0.9915678466688481,0.8311646947511611,0.7180147171020508,0.6991651058197021
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.3764705955982208,0.4901960790157318,0.980433095324805,0.9716740284169157,0.6320259494151953,0.7210171222686768,0.689016580581665
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.27450981736183167,0.29411765933036804,0.9255027264143326,0.993239413218889,0.9721664967495454,0.6850107312202454,0.6846660375595093
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.2980392277240753,0.2823529541492462,0.9430987688702642,0.9867966831907674,0.916079581844006,0.672326922416687,0.6783701181411743
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.27450981736183167,0.2862745225429535,0.9271225905962188,0.9924490426639037,0.9352766850524752,0.6650046110153198,0.6791819334030151
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.25882354378700256,0.2666666805744171,0.9279679520665215,0.9948454755049877,0.9717478227528102,0.6664062738418579,0.6692095994949341
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,15,tile15_L-1_Havg.png,tile15_L-1_Havg.png,779,779,0.2705882489681244,0.3137255012989044,0.9264354254244522,0.9895051615088292,0.949034443696264,0.6759880781173706,0.6874310970306396
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,16,tile16_L-1_Havg.png,tile16_L-1_Havg.png,779,779,0.32156863808631897,0.3137255012989044,0.9461012027862323,0.9880525441714795,0.9190554572087208,0.6832950115203857,0.6890318393707275
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,17,tile17_L-1_Havg.png,tile17_L-1_Havg.png,779,779,0.30980393290519714,0.3137255012989044,0.9502917568193315,0.9828883645246766,0.9192988275782475,0.682529091835022,0.6876914501190186
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,18,tile18_L-1_Havg.png,tile18_L-1_Havg.png,779,779,0.33725491166114807,0.3333333432674408,0.9409219218872819,0.9918604733573612,0.9445308339545272,0.6994102001190186,0.6994102001190186
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,19,tile19_L-1_Havg.png,tile19_L-1_Havg.png,779,779,0.40392157435417175,0.4470588266849518,0.9570909019001682,0.9816646155046229,0.6495636368681302,0.7203431129455566,0.685431957244873
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,20,tile20_L-1_Havg.png,tile20_L-1_Havg.png,779,779,0.3607843220233917,0.4470588266849518,0.9587750333283348,0.9674599089086204,0.5038092628117016,0.7151424884796143,0.6644377708435059
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,21,tile21_L-1_Havg.png,tile21_L-1_Havg.png,779,779,0.4745098054409027,0.4941176474094391,0.9889723996895398,0.9927775293602142,0.7722386953298089,0.7336626648902893,0.7098116278648376
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,22,tile22_L-1_Havg.png,tile22_L-1_Havg.png,779,779,0.41960784792900085,0.4470588266849518,0.9572359151738264,0.9971599008337564,0.9764283382303868,0.7065104246139526,0.7164368629455566
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,23,tile23_L-1_Havg.png,tile23_L-1_Havg.png,779,779,0.45490196347236633,0.46666666865348816,0.9819590304544353,0.9962063283761371,0.9431646565842488,0.721155047416687,0.7278339862823486
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,24,tile24_L-1_Havg.png,tile24_L-1_Havg.png,779,779,0.4745098054409027,0.4901960790157318,0.9743639602465884,0.9975351558570781,0.9286256106317268,0.7332643866539001,0.7308593988418579
TCGA-KN-8437-01Z-00-DX1.573F2559-097F-4A87-9AB6-55BF2FEB724F_patches_images,conch,hoptimus,25,tile25_L-1_Havg.png,tile25_L-1_Havg.png,779,779,0.30588236451148987,0.33725491166114807,0.9369719580582063,0.9723367245179121,0.6826700169006833,0.6720128655433655,0.651447594165802
