slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.32549020648002625,0.37254902720451355,0.9974556761985429,0.9866646491355212,0.8896211193405174,0.6549862027168274,0.659589409828186
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.43921568989753723,0.46666666865348816,0.9996193401566473,0.9921095005033019,0.864898674005421,0.7125995755195618,0.7087852358818054
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4313725531101227,0.4588235318660736,0.9229781771501926,0.9961689924784523,0.9602295490226885,0.7186810970306396,0.7288832664489746
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4627451002597809,0.47843137383461,0.9496424928440893,0.994733317876322,0.9268866451544784,0.7250000238418579,0.7358685731887817
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.4627451002597809,0.48627451062202454,0.9536616675537744,0.9958405949947196,0.9350777585780327,0.7307291030883789,0.7341452240943909
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.46666666865348816,0.48235294222831726,0.976247484926035,0.99480660570118,0.9028489403695347,0.725045919418335,0.7320542335510254
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.38823530077934265,0.43529412150382996,0.9985910642161621,0.9832918801372182,0.7881648924817711,0.687660813331604,0.6814797520637512
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.3843137323856354,0.4313725531101227,0.9869817629329594,0.9741593860634246,0.685668813944624,0.6868489384651184,0.6659926176071167
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.3450980484485626,0.45098039507865906,0.9577994894873616,0.9551726631222308,0.43721518243022583,0.715004563331604,0.6672641038894653
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.2705882489681244,0.3686274588108063,0.9488613986200669,0.9551679775198239,0.4775635614680527,0.6846354007720947,0.6443703770637512
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.25882354378700256,0.3607843220233917,0.9922154238095316,0.9535909440346213,0.8609936472995365,0.627129316329956,0.6497395634651184
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.2666666805744171,0.37254902720451355,0.9971343399671413,0.9399886847206559,0.7411298969071554,0.632368266582489,0.634765625
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.3137255012989044,0.37254902720451355,0.9957913193076935,0.9862140578581315,0.9371743794053561,0.6473191976547241,0.685723066329956
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.4431372582912445,0.47058823704719543,0.9990557658431121,0.9915029301189922,0.7876772420015886,0.7091375589370728,0.7014245986938477
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,conch,hoptimus,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.4431372582912445,0.4627451002597809,0.9558615848302933,0.9949690221170464,0.9445334841770169,0.725222110748291,0.7340762615203857
