slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.46666666865348816,0.48235294222831726,0.9985762333131742,0.9962774803131795,0.921633421453084,0.730583667755127,0.7288832664489746
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.47058823704719543,0.4901960790157318,0.994365904742758,0.9921589189923868,0.8239330389991883,0.7339460849761963,0.7206112146377563
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4588235318660736,0.4901960790157318,0.9929289550310543,0.9861760565825749,0.7339726995553418,0.7294807434082031,0.7110906839370728
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.45490196347236633,0.48627451062202454,0.9903170682270974,0.9887642836999654,0.8137766150966881,0.7204043865203857,0.718022346496582
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.4588235318660736,0.48235294222831726,0.971124231882816,0.9934489892109394,0.8797625525598932,0.7283624410629272,0.720703125
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.47058823704719543,0.4941176474094391,0.9582971486765067,0.991530810124747,0.9317870084139321,0.7224264144897461,0.7345128655433655
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.46666666865348816,0.48627451062202454,0.9935238390286747,0.9958885334969264,0.9075128174073607,0.7247931957244873,0.7336397171020508
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.21568627655506134,0.2705882489681244,0.9421973795442299,0.9531801809336828,0.5301118220273763,0.6650046110153198,0.6088618040084839
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.24705882370471954,0.2666666805744171,0.9201949110228215,0.9931479451417742,0.9720066640360195,0.664177417755127,0.669140636920929
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.27843138575553894,0.2980392277240753,0.950075884786954,0.9718741118790818,0.6773859465128029,0.6479089856147766,0.6454963684082031
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.25882354378700256,0.2705882489681244,0.9305271067709664,0.9866293336803245,0.9060185327079918,0.6692095994949341,0.6762178540229797
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.4745098054409027,0.4941176474094391,0.9716894540744611,0.9922842198620997,0.802176571722221,0.7323375940322876,0.7167279720306396
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.45098039507865906,0.4745098054409027,0.9836316267358336,0.9951675897995114,0.9351389878830111,0.7229932546615601,0.7292969226837158
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.46666666865348816,0.48235294222831726,0.961105132975524,0.9961894830306697,0.9232430209242791,0.7333486080169678,0.7324371933937073
TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F_patches_images,conch,hoptimus,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.3294117748737335,0.4901960790157318,0.9802501808546226,0.963471512123139,0.5951664435046204,0.7113741040229797,0.6890318393707275
