slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A7GL-01Z-00-DX1.BE2C0D9F-3F84-4363-9B79-01883E8F0306_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.45098039507865906,0.4745098054409027,1.0,0.9923350303294266,0.850457782299005,0.7215533256530762,0.7136489152908325
TCGA-UW-A7GL-01Z-00-DX1.BE2C0D9F-3F84-4363-9B79-01883E8F0306_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.4470588266849518,0.4745098054409027,0.999993408487561,0.9956064546454994,0.9246851151916163,0.7166436910629272,0.7242876887321472
TCGA-UW-A7GL-01Z-00-DX1.BE2C0D9F-3F84-4363-9B79-01883E8F0306_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.47843137383461,0.501960813999176,0.999022808280917,0.9957077166607993,0.9152111260396391,0.7358685731887817,0.7437729835510254
TCGA-UW-A7GL-01Z-00-DX1.BE2C0D9F-3F84-4363-9B79-01883E8F0306_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4745098054409027,0.4941176474094391,0.9138308057629593,0.9965236583137312,0.9438054829595557,0.7283854484558105,0.7366498112678528
TCGA-UW-A7GL-01Z-00-DX1.BE2C0D9F-3F84-4363-9B79-01883E8F0306_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.46666666865348816,0.48627451062202454,0.9983636570370162,0.9981140915238519,0.9696208561590879,0.7281709909439087,0.7378216981887817
TCGA-UW-A7GL-01Z-00-DX1.BE2C0D9F-3F84-4363-9B79-01883E8F0306_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.47843137383461,0.501960813999176,0.9385423858968,0.9979116063616874,0.981495008521927,0.7309053540229797,0.7421875
TCGA-UW-A7GL-01Z-00-DX1.BE2C0D9F-3F84-4363-9B79-01883E8F0306_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.0784313753247261,0.18431372940540314,0.9255060221705521,0.9695481862649727,0.2876724181296788,0.3355468809604645,0.6703507900238037
TCGA-UW-A7GL-01Z-00-DX1.BE2C0D9F-3F84-4363-9B79-01883E8F0306_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.40392157435417175,0.501960813999176,0.9538017371931033,0.9811002080594767,0.6383198260267203,0.724609375,0.6967678070068359
TCGA-UW-A7GL-01Z-00-DX1.BE2C0D9F-3F84-4363-9B79-01883E8F0306_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.48235294222831726,0.5058823823928833,0.947923755975618,0.9934874960947122,0.883495053362774,0.7258961200714111,0.7320772409439087
TCGA-UW-A7GL-01Z-00-DX1.BE2C0D9F-3F84-4363-9B79-01883E8F0306_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.3294117748737335,0.4274509847164154,0.9298959694549314,0.9876163169946813,0.847445559684572,0.7089767456054688,0.7229932546615601
