slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.41960784792900085,0.43529412150382996,0.9995303547387206,0.9831252397354483,0.7314704877770497,0.7047793865203857,0.6746629476547241
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.45098039507865906,0.47843137383461,0.9838738648179671,0.9892621921759575,0.8343949635150776,0.7209558486938477,0.7168198823928833
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.45098039507865906,0.45490196347236633,0.9993540317809773,0.9963290425731799,0.9255082235160971,0.7164368629455566,0.7207261323928833
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4117647111415863,0.45490196347236633,0.9268342119270122,0.9937452437726257,0.9351183913476206,0.7210171222686768,0.7421875
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.2862745225429535,0.3607843220233917,0.9431168955294714,0.985081498360732,0.9367990905458837,0.6981310844421387,0.7242876887321472
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.24705882370471954,0.3019607961177826,0.9222053223167189,0.9911024633163744,0.9761917853410704,0.697104811668396,0.7147594690322876
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.47843137383461,0.4941176474094391,0.9788709068767601,0.9949012832280475,0.9255612445843862,0.7296874523162842,0.7455575466156006
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.4588235318660736,0.4588235318660736,0.9995320026168304,0.998562250823062,0.9670461484776055,0.7270373702049255,0.7240885496139526
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.3843137323856354,0.43921568989753723,0.9966696383401913,0.98777777859016,0.9111922264127129,0.6931066513061523,0.7091375589370728
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.4156862795352936,0.4627451002597809,0.9994957492984159,0.9584960093977819,0.4759185489680639,0.7027497291564941,0.658157229423523
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.3843137323856354,0.3921568691730499,0.9999060709477441,0.9639796623205321,0.4948718644067528,0.686611533164978,0.6158088445663452
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.45098039507865906,0.47058823704719543,0.9860012754576569,0.9978136564615298,0.9753146860753751,0.7213082313537598,0.7278339862823486
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.30588236451148987,0.32549020648002625,0.923301161259704,0.9947553429632392,0.963458175081915,0.7138097286224365,0.722541332244873
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.24313725531101227,0.30980393290519714,0.957484744768399,0.9458966578720756,0.5942624263899811,0.6321691274642944,0.6296645402908325
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.2980392277240753,0.3019607961177826,0.9427197569050213,0.984651179321532,0.874256927945338,0.6656020283699036,0.6846660375595093
TCGA-UW-A7GN-01Z-00-DX1.0DCDED5B-B0D4-4B0F-81DB-1534E331ED3C_patches_images,conch,hoptimus,15,tile15_L-1_Havg.png,tile15_L-1_Havg.png,779,779,0.2823529541492462,0.27450981736183167,0.9542779739668216,0.9654817729341485,0.5710045892148609,0.6227098703384399,0.5828278064727783
