slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.3176470696926117,0.3843137323856354,1.0,0.9787305495246129,0.8868848635620689,0.6473191976547241,0.6696231365203857
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.3607843220233917,0.4156862795352936,1.0,0.9861868582804674,0.9090927384868334,0.6741575002670288,0.6909466981887817
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.3450980484485626,0.4000000059604645,0.9999620988034758,0.9843605015700713,0.9061013943740523,0.6705422401428223,0.6781479716300964
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.3960784375667572,0.4274509847164154,0.999794015236281,0.9909127387937289,0.9143341815096617,0.690517783164978,0.701286792755127
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.2823529541492462,0.30588236451148987,0.9435206256663607,0.9846618988442988,0.8285583677733366,0.6734145283699036,0.703576922416687
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.2862745225429535,0.2862745225429535,0.9480077977592154,0.9891975803107637,0.9474572649571638,0.682529091835022,0.685431957244873
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.40784314274787903,0.43529412150382996,0.9953150825339752,0.9947105243203881,0.9525359197693316,0.7058287262916565,0.7125995755195618
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.4588235318660736,0.4941176474094391,0.9997973109925005,0.9958258262254217,0.9661820140009729,0.7241191864013672,0.7437729835510254
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.47058823704719543,0.4941176474094391,0.9997066776964642,0.9981288404639569,0.9713677465135988,0.7286917567253113,0.7420802116394043
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.4745098054409027,0.48627451062202454,0.9979483917533588,0.9982548094396524,0.9685416047775613,0.7324371933937073,0.7340762615203857
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.25882354378700256,0.2549019753932953,0.9284722027681056,0.9928296009065507,0.9528526915224076,0.6591375470161438,0.658363938331604
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.21568627655506134,0.239215686917305,0.9374564342224734,0.9875145011600928,0.9341338810764277,0.6346124410629272,0.6467141509056091
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.2862745225429535,0.2823529541492462,0.9466730164903162,0.9778497920050747,0.8658652447890581,0.6536075472831726,0.6627067923545837
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.26274511218070984,0.250980406999588,0.9340041295825431,0.9908408131078902,0.9664707163073192,0.6612591743469238,0.654021143913269
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.250980406999588,0.24313725531101227,0.9357409931102216,0.9818886863990338,0.8993661579026521,0.6439414620399475,0.6526118516921997
TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B_patches_images,conch,hoptimus,15,tile15_L-1_Havg.png,tile15_L-1_Havg.png,779,779,0.47058823704719543,0.4941176474094391,0.9816492293698019,0.989921458326894,0.911194075524725,0.7328814268112183,0.736764669418335
