slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.4117647111415863,0.47058823704719543,0.9970338194024464,0.991612261116636,0.9569242721797963,0.7060967683792114,0.7293658256530762
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.4274509847164154,0.46666666865348816,0.9802304063173055,0.9932859775471216,0.9322876696486726,0.7102558016777039,0.7223345041275024
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.3921568691730499,0.4470588266849518,0.9380397830733256,0.9899800986155596,0.9278397974449484,0.6896829009056091,0.7198989391326904
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.3843137323856354,0.4313725531101227,0.921247905134953,0.9921872483836092,0.9625746228154822,0.6896829009056091,0.7138863205909729
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.4470588266849518,0.4745098054409027,0.9739371598161627,0.9923580966034434,0.8922628030988136,0.7219668626785278,0.7309053540229797
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.4470588266849518,0.47843137383461,0.9980967007832364,0.994952136764964,0.9518095565190238,0.7259650826454163,0.7339843511581421
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.46666666865348816,0.4941176474094391,0.9670885783920335,0.9934850125609295,0.9508094778598745,0.7323375940322876,0.7371323108673096
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.2823529541492462,0.2705882489681244,0.9290604952532872,0.9890773394608959,0.8559295041935685,0.669140636920929,0.6819852590560913
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.27450981736183167,0.2549019753932953,0.9285463572830445,0.985814895818933,0.8963753613519219,0.6899356842041016,0.6846354007720947
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.2705882489681244,0.250980406999588,0.9437809904077015,0.9877024401886649,0.9109510944930292,0.6594668626785278,0.6636029481887817
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.3019607961177826,0.27843138575553894,0.9412828071933175,0.98854847954788,0.9197926260127157,0.6791819334030151,0.6769684553146362
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.3921568691730499,0.3490196168422699,0.9619060017368636,0.9855514248884636,0.8954612005855611,0.7223345041275024,0.715004563331604
