slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.2980392277240753,0.3490196168422699,0.9457600920175137,0.9852287192718799,0.9382352941175478,0.6459788680076599,0.6627067923545837
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.30588236451148987,0.3686274588108063,0.9582460644551044,0.9811701385939604,0.9092715503112803,0.649609386920929,0.6720051765441895
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.32156863808631897,0.3686274588108063,0.9523153511381071,0.9882927115171758,0.9361158612535166,0.6577053070068359,0.6806602478027344
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.3176470696926117,0.33725491166114807,0.9555896849421842,0.9863784093881349,0.9261730947978689,0.6558287143707275,0.672326922416687
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.3764705955982208,0.3137255012989044,0.9461325124703176,0.9761219247248506,0.6893972962677387,0.6860370635986328,0.6991191506385803
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.4000000059604645,0.3019607961177826,0.9537654838746887,0.9659155323826594,0.5700383102357384,0.6589920520782471,0.7003676891326904
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.4000000059604645,0.3019607961177826,0.9476848136497039,0.9776233509579784,0.7816973415132236,0.700390636920929,0.7040671110153198
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.42352941632270813,0.30980393290519714,0.9506740645407941,0.9738083606496496,0.7626000739536188,0.7045113444328308,0.7065027356147766
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.46666666865348816,0.4901960790157318,0.9822128036833372,0.9899962204637294,0.8705921620983988,0.7166590094566345,0.7356771230697632
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.3176470696926117,0.3607843220233917,0.9465889747067189,0.9844465546285924,0.9274419577493278,0.6540900468826294,0.6786994338035583
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.3960784375667572,0.3686274588108063,0.9253461779939062,0.9906746107756635,0.8327339311703993,0.7080652713775635,0.7164062261581421
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.33725491166114807,0.3137255012989044,0.9256922323969541,0.9915332608768995,0.8979546375049718,0.7089767456054688,0.7052849531173706
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.3529411852359772,0.30980393290519714,0.9361727371749766,0.9853790694637459,0.8336968375135531,0.7019684314727783,0.7028109431266785
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.3294117748737335,0.30588236451148987,0.9272989135539622,0.9890711624479799,0.8469619697055711,0.6886106133460999,0.6928998231887817
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.3960784375667572,0.3176470696926117,0.9504895021925018,0.9699726515201734,0.601474488100284,0.6677082777023315,0.7015777826309204
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,15,tile15_L-1_Havg.png,tile15_L-1_Havg.png,779,779,0.4117647111415863,0.3529411852359772,0.9463599196494634,0.9825035919173942,0.7503278591431877,0.7031862735748291,0.7150735855102539
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,16,tile16_L-1_Havg.png,tile16_L-1_Havg.png,779,779,0.47843137383461,0.3686274588108063,0.9790340468096256,0.9735364079170623,0.6934565700165233,0.7058364152908325,0.7210937738418579
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,17,tile17_L-1_Havg.png,tile17_L-1_Havg.png,779,779,0.47058823704719543,0.4901960790157318,0.9687117383301392,0.9951770394823038,0.9314357735531004,0.7328814268112183,0.7345664501190186
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,18,tile18_L-1_Havg.png,tile18_L-1_Havg.png,779,779,0.3843137323856354,0.43529412150382996,0.9744727202018321,0.9902730713778617,0.8987554726770616,0.6779870986938477,0.7087545990943909
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,19,tile19_L-1_Havg.png,tile19_L-1_Havg.png,779,779,0.47843137383461,0.40392157435417175,0.9831471505715665,0.978590579116149,0.7274919811977976,0.7044883966445923,0.7286534905433655
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,20,tile20_L-1_Havg.png,tile20_L-1_Havg.png,779,779,0.3803921639919281,0.3019607961177826,0.9399892228771622,0.979060458311838,0.7517334915655886,0.6965609788894653,0.7040671110153198
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,21,tile21_L-1_Havg.png,tile21_L-1_Havg.png,779,779,0.3490196168422699,0.3019607961177826,0.9394503667352734,0.984363464421709,0.8660266989579335,0.7070848941802979,0.6966222524642944
TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567_patches_images,conch,musk,22,tile22_L-1_Havg.png,tile22_L-1_Havg.png,779,779,0.3490196168422699,0.32549020648002625,0.9379392625086308,0.9883903566583384,0.8608398532294491,0.7055376768112183,0.7003676891326904
