slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,musk,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.2666666805744171,0.3019607961177826,0.956314751310475,0.9797749839927637,0.9447220121229193,0.6418122053146362,0.6672793626785278
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,musk,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.2862745225429535,0.3843137323856354,0.9731395868110427,0.9713296520084644,0.9404241781547253,0.6456954479217529,0.6952358484268188
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,musk,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4745098054409027,0.49803921580314636,0.9958374598947665,0.9971915006843802,0.9627571837832101,0.7346047759056091,0.7435661554336548
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,musk,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.3333333432674408,0.239215686917305,0.9412482017530127,0.9874540647645301,0.919718324466059,0.7181755304336548,0.7052849531173706
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,musk,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.23137255012989044,0.19607843458652496,0.9513183848817071,0.9854697794250881,0.9323758857790723,0.6811428070068359,0.6672793626785278
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,musk,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.4627451002597809,0.49803921580314636,0.9996621849875008,0.9943512843525231,0.9230112719740086,0.7253676652908325,0.739797830581665
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,musk,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.4156862795352936,0.4627451002597809,0.9965427517257404,0.9916923798015249,0.9422627395978429,0.7045113444328308,0.73046875
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,musk,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.21176470816135406,0.18431372940540314,0.9414113416858781,0.9832792286097704,0.8745500626213353,0.6655943393707275,0.6645067930221558
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,musk,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.1921568661928177,0.18039216101169586,0.9248814763669561,0.9858057055735763,0.9516563469152401,0.6169806718826294,0.623161792755127
TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_patches_images,conch,musk,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.18431372940540314,0.18431372940540314,0.9178944731816077,0.9900737150463135,0.9638404938646259,0.6190104484558105,0.6178998351097107
