slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2_patches_images,conch,musk,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.48235294222831726,0.5098039507865906,0.9956825593524499,0.9963669482026897,0.9354818365286606,0.7363128066062927,0.7488816976547241
TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2_patches_images,conch,musk,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.3843137323856354,0.47058823704719543,0.9993902850993918,0.9832271300122482,0.9552955877282666,0.6896829009056091,0.724609375
TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2_patches_images,conch,musk,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.48627451062202454,0.5098039507865906,0.9984312200395161,0.9960211235713522,0.9288894009698307,0.7357307076454163,0.7444852590560913
TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2_patches_images,conch,musk,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4000000059604645,0.45490196347236633,0.9996226359128668,0.9917320112074743,0.9503713308969864,0.6905330419540405,0.7198222875595093
TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2_patches_images,conch,musk,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.2862745225429535,0.2823529541492462,0.9171315056167926,0.995511425407953,0.9439778593857104,0.7114430665969849,0.7126991748809814
TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2_patches_images,conch,musk,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.2549019753932953,0.23137255012989044,0.9317729026219389,0.9880273608546584,0.9377940849924463,0.669140636920929,0.6636029481887817
TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2_patches_images,conch,musk,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.3294117748737335,0.2823529541492462,0.9537061602627377,0.9855747101328295,0.9584342037003979,0.7188419103622437,0.7113970518112183
TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2_patches_images,conch,musk,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.35686275362968445,0.43529412150382996,0.9984312200395161,0.9841680933823798,0.9273449754260246,0.673391580581665,0.7055376768112183
TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2_patches_images,conch,musk,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.48235294222831726,0.5098039507865906,0.9930624331579442,0.9946866017883622,0.9439973207463246,0.7381356954574585,0.7434206604957581
TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2_patches_images,conch,musk,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.250980406999588,0.2235294133424759,0.9304694310371251,0.9897164566795611,0.9082734181362884,0.6841222643852234,0.6746323108673096
