slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.4745098054409027,0.49803921580314636,0.9861001481442421,0.9958518378416623,0.9277039113741667,0.7332643866539001,0.7361060380935669
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.3490196168422699,0.4117647111415863,0.9286386384571906,0.9865075938245842,0.9303120902175788,0.6833639144897461,0.7080652713775635
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4156862795352936,0.4627451002597809,0.9634566550381402,0.9929015142813891,0.9510775656450075,0.7052313089370728,0.7251071929931641
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4156862795352936,0.4588235318660736,0.9595660148210157,0.9926548184171243,0.9354937392532533,0.706135094165802,0.719814658164978
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.3450980484485626,0.3843137323856354,0.9726699415497635,0.9893168361300058,0.929960885477194,0.669921875,0.6906326413154602
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.43529412150382996,0.4745098054409027,0.9764287515181077,0.9931879591756907,0.93139664335067,0.7134803533554077,0.7269531488418579
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.47058823704719543,0.49803921580314636,0.9790192159066378,0.9956010064946405,0.9382849283181571,0.7326516509056091,0.7387868165969849
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.47058823704719543,0.4941176474094391,0.9962708518376313,0.99605187743469,0.9286430271894783,0.7290440797805786,0.7371323108673096
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.47843137383461,0.4941176474094391,0.9124169263447921,0.9962664877131652,0.9416224251432426,0.7295266389846802,0.7309053540229797
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.29019609093666077,0.21960784494876862,0.946681255880865,0.9736797709931019,0.8586869035298706,0.6917126178741455,0.6709558963775635
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.2549019753932953,0.22745098173618317,0.9373213082174737,0.9820915795606278,0.8911890023312876,0.6619791984558105,0.6556755304336548
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.24705882370471954,0.22745098173618317,0.9298663076489558,0.9878049419979633,0.9418524379492824,0.6612591743469238,0.6519531011581421
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.24705882370471954,0.22745098173618317,0.9293159163602986,0.9875744033739645,0.9381558903181134,0.6619791984558105,0.6519531011581421
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.2549019753932953,0.2235294133424759,0.9430312058677643,0.9818659885871214,0.8372272457821696,0.6463848352432251,0.6570925712585449
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.29411765933036804,0.21568627655506134,0.962467928172289,0.9540409598974144,0.5889520876611565,0.6160615682601929,0.6570925712585449
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,15,tile15_L-1_Havg.png,tile15_L-1_Havg.png,779,779,0.4627451002597809,0.48627451062202454,0.9826066465515678,0.9968918304143877,0.9567627614023839,0.7257583141326904,0.7356771230697632
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,16,tile16_L-1_Havg.png,tile16_L-1_Havg.png,779,779,0.48235294222831726,0.49803921580314636,0.9671759159318504,0.9920082629477102,0.8737573279471035,0.7339919805526733,0.7329503297805786
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,17,tile17_L-1_Havg.png,tile17_L-1_Havg.png,779,779,0.24313725531101227,0.20392157137393951,0.926875408879756,0.9906658780885045,0.9352372314732781,0.6886106133460999,0.6793351173400879
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,18,tile18_L-1_Havg.png,tile18_L-1_Havg.png,779,779,0.24705882370471954,0.21176470816135406,0.9302865165669426,0.9906400289329705,0.9624853712451821,0.6740962266921997,0.6599264144897461
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,19,tile19_L-1_Havg.png,tile19_L-1_Havg.png,779,779,0.2235294133424759,0.19607843458652496,0.9342776773487619,0.9822302870230675,0.8525475870024176,0.6270143985748291,0.6422641277313232
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,20,tile20_L-1_Havg.png,tile20_L-1_Havg.png,779,779,0.239215686917305,0.20392157137393951,0.9428664180567892,0.9767789510558439,0.8192889074273157,0.6198759078979492,0.640785813331604
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,21,tile21_L-1_Havg.png,tile21_L-1_Havg.png,779,779,0.2235294133424759,0.21176470816135406,0.920191615266602,0.9901856058513043,0.9440159772238571,0.6576746702194214,0.6445082426071167
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,22,tile22_L-1_Havg.png,tile22_L-1_Havg.png,779,779,0.25882354378700256,0.23137255012989044,0.9446922670023944,0.9822743235891922,0.9113630057446113,0.6600030660629272,0.6548177003860474
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,23,tile23_L-1_Havg.png,tile23_L-1_Havg.png,779,779,0.2549019753932953,0.2235294133424759,0.9438617364350794,0.9845786021547874,0.9360170564889665,0.6699448823928833,0.6599264144897461
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,24,tile24_L-1_Havg.png,tile24_L-1_Havg.png,779,779,0.2549019753932953,0.21960784494876862,0.951723762896706,0.9692300647938992,0.7590260715260068,0.626677393913269,0.6459711790084839
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,25,tile25_L-1_Havg.png,tile25_L-1_Havg.png,779,779,0.21176470816135406,0.1921568661928177,0.9244777462300668,0.9850664819781018,0.8618521434054577,0.6238127946853638,0.6422641277313232
TCGA-NP-A5H5-01Z-00-DX1.E6434A29-9182-4476-9E89-62B9C8EABC5B_patches_images,conch,musk,26,tile26_L-1_Havg.png,tile26_L-1_Havg.png,779,779,0.4470588266849518,0.47843137383461,0.9703892782458667,0.9956709148378745,0.9541752294465355,0.717570424079895,0.739008903503418
