slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.24313725531101227,0.1764705926179886,0.933778370281507,0.9654388058527794,0.19999676354456195,0.6654641628265381,0.3960018455982208
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.3333333432674408,0.5254902243614197,0.9965707656536061,0.9286604039806282,0.9499539387705991,0.6661994457244873,0.7523360848426819
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.21960784494876862,0.027450980618596077,1.0,0.8134972272062494,0.9963709903936862,0.609375,0.4282475411891937
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.21568627655506134,0.5254902243614197,0.9995451856417085,0.8039436542644638,0.9609162522076347,0.607421875,0.7566252946853638
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.30980393290519714,0.21960784494876862,0.9507630499587206,0.9870416944986389,0.8537212279907146,0.7134574055671692,0.7074601650238037
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.27450981736183167,0.2235294133424759,0.9553589820068189,0.9660810655049592,0.9604895483590425,0.6578124761581421,0.6225260496139526
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.26274511218070984,0.19607843458652496,0.9916090046651429,0.9346253575543816,0.9528219784469231,0.6628446578979492,0.6106158494949341
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.24313725531101227,0.1921568661928177,0.9898441272095986,0.9630640676892992,0.9712082881579469,0.6439415216445923,0.602458655834198
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.239215686917305,0.21176470816135406,0.9861281620721079,0.9707826801143712,0.6133569521190404,0.5949984788894653,0.632651686668396
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.21960784494876862,0.027450980618596077,1.0,0.8134972272062494,0.9963709903936862,0.609375,0.4282475411891937
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.4431372582912445,0.529411792755127,0.989362946801551,0.9813530439840955,0.9324641186056535,0.7130284905433655,0.754067063331604
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.2235294133424759,0.1921568661928177,0.9405758674842339,0.9892151993425794,0.9329644202241955,0.669921875,0.6644377708435059
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,conch,musk,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.25882354378700256,0.15294118225574493,0.976911579804265,0.9416431705460603,0.9373427756050167,0.6559512615203857,0.6158777475357056
