slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A7GI-11Z-00-DX1.3D506541-C999-4897-B21B-2211ADB364AE_patches_images,conch,musk,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.4627451002597809,0.4901960790157318,0.9975858585692133,0.9961709332547595,0.9369004701367258,0.7264323234558105,0.7402267456054688
TCGA-UW-A7GI-11Z-00-DX1.3D506541-C999-4897-B21B-2211ADB364AE_patches_images,conch,musk,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.47843137383461,0.49803921580314636,0.993349163949041,0.9956312922122311,0.9038686987103425,0.736764669418335,0.7386718988418579
TCGA-UW-A7GI-11Z-00-DX1.3D506541-C999-4897-B21B-2211ADB364AE_patches_images,conch,musk,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4745098054409027,0.49803921580314636,0.9935518529565405,0.9957838977694291,0.9107920466682164,0.7296874523162842,0.7423560619354248
TCGA-UW-A7GI-11Z-00-DX1.3D506541-C999-4897-B21B-2211ADB364AE_patches_images,conch,musk,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4745098054409027,0.49803921580314636,0.9959330368251321,0.9959954499740185,0.9151808272575394,0.7282858490943909,0.7423560619354248
TCGA-UW-A7GI-11Z-00-DX1.3D506541-C999-4897-B21B-2211ADB364AE_patches_images,conch,musk,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.33725491166114807,0.3176470696926117,0.9078111070280354,0.9957279833865812,0.9438539372465401,0.7201133966445923,0.7192555665969849
TCGA-UW-A7GI-11Z-00-DX1.3D506541-C999-4897-B21B-2211ADB364AE_patches_images,conch,musk,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.23137255012989044,0.18431372940540314,0.9108975827276008,0.9911321611241429,0.8980364755799032,0.7052849531173706,0.7041820287704468
TCGA-UW-A7GI-11Z-00-DX1.3D506541-C999-4897-B21B-2211ADB364AE_patches_images,conch,musk,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.1568627506494522,0.125490203499794,0.9070810970254152,0.990908931356874,0.2111953827694579,0.685661792755127,0.3687959611415863
TCGA-UW-A7GI-11Z-00-DX1.3D506541-C999-4897-B21B-2211ADB364AE_patches_images,conch,musk,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.4745098054409027,0.32549020648002625,0.9291362976463357,0.9871190621393868,0.8867933961980254,0.719814658164978,0.7249616980552673
TCGA-UW-A7GI-11Z-00-DX1.3D506541-C999-4897-B21B-2211ADB364AE_patches_images,conch,musk,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.3137255012989044,0.29019609093666077,0.9238037640831783,0.9929058437937162,0.9302632959193402,0.7113741040229797,0.7065869569778442
TCGA-UW-A7GI-11Z-00-DX1.3D506541-C999-4897-B21B-2211ADB364AE_patches_images,conch,musk,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.34117648005485535,0.2666666805744171,0.9433294718056294,0.9814040152114883,0.8557890876806153,0.705805778503418,0.7065027356147766
