slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720_patches_images,conch,musk,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.22745098173618317,0.32549020648002625,0.9570150995071196,0.9658120446800491,0.9692021857922438,0.6064951419830322,0.6511948108673096
TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720_patches_images,conch,musk,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.45098039507865906,0.48235294222831726,0.9987393732460398,0.9971538261650114,0.9806106870227939,0.7223345041275024,0.7378216981887817
TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720_patches_images,conch,musk,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.27450981736183167,0.4274509847164154,0.9986635708529912,0.9401629684601489,0.929765886287528,0.632199764251709,0.7066866159439087
TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720_patches_images,conch,musk,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.2666666805744171,0.4156862795352936,0.9768143549957897,0.9364975137186085,0.9183468472665696,0.6302236318588257,0.6891697645187378
TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720_patches_images,conch,musk,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.47058823704719543,0.4941176474094391,0.9825654495988241,0.9916652950330852,0.9390996791374902,0.7285386323928833,0.7371323108673096
TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720_patches_images,conch,musk,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.3607843220233917,0.3137255012989044,0.9322639702986449,0.9936249485768074,0.9560061662515275,0.7198222875595093,0.7224264144897461
TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720_patches_images,conch,musk,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.3529411852359772,0.2862745225429535,0.9483126552095195,0.986773734923736,0.900635752442376,0.7165977358818054,0.7089384198188782
TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720_patches_images,conch,musk,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.4117647111415863,0.2666666805744171,0.9494101420306142,0.9690708733525375,0.8648843648842806,0.720703125,0.7040671110153198
TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720_patches_images,conch,musk,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.32549020648002625,0.2823529541492462,0.9325737713832783,0.9923292644855963,0.9485821861394443,0.719921886920929,0.717578113079071
TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720_patches_images,conch,musk,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.30588236451148987,0.30588236451148987,0.9150387004174075,0.9949198774562323,0.9329840508352341,0.7174478769302368,0.7162607312202454
