slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.2980392277240753,0.3529411852359772,0.9252258828918942,0.9864291574584765,0.8512790976721045,0.6649892926216125,0.6679151058197021
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.30980393290519714,0.35686275362968445,0.9122933354865608,0.9850555060686721,0.8060754247070174,0.6669347286224365,0.6737668514251709
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4941176474094391,0.4901960790157318,0.9922895783244705,0.9916996860340659,0.8919666475563107,0.7382276058197021,0.7363128066062927
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.29019609093666077,0.47058823704719543,0.9486735405155552,0.9639117411730915,0.6173391251078566,0.7089920043945312,0.690234363079071
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.30588236451148987,0.4745098054409027,0.9600752091569291,0.9635298277168832,0.6558009864893359,0.7101562023162842,0.6977788209915161
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.4941176474094391,0.4901960790157318,0.9946691143149523,0.9957816472020962,0.885155906894949,0.7409390211105347,0.7322840690612793
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.4941176474094391,0.4941176474094391,0.9796899022973069,0.9933055105054022,0.7961626934336404,0.7408088445663452,0.7167279720306396
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.4000000059604645,0.37254902720451355,0.9303656147162107,0.9935404539951819,0.9287434807195895,0.6983761787414551,0.677558183670044
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.24313725531101227,0.27843138575553894,0.9211276100329411,0.9943523703935336,0.9457900069321233,0.6705652475357056,0.6818244457244873
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.3176470696926117,0.48627451062202454,0.950468079777075,0.9720983690488216,0.678709243594688,0.7138020992279053,0.7047104835510254
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.250980406999588,0.30980393290519714,0.9356635428390633,0.9753911156204288,0.8061995784576635,0.6682138442993164,0.6699448823928833
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.2549019753932953,0.2862745225429535,0.9269792252006703,0.9922071252367693,0.9530779812568833,0.6631203889846802,0.6740962266921997
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.26274511218070984,0.29411765933036804,0.9256230215163445,0.993170114017914,0.9535903997934414,0.6759880781173706,0.6839154362678528
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.1921568661928177,0.27450981736183167,0.9357953730878434,0.947928834717215,0.5922439809090394,0.6525735855102539,0.6145220994949341
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.239215686917305,0.35686275362968445,0.9534095422029824,0.9603410749982934,0.7922704450836393,0.6830422878265381,0.7005515098571777
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,15,tile15_L-1_Havg.png,tile15_L-1_Havg.png,779,779,0.2666666805744171,0.30980393290519714,0.9190529314927633,0.9945892795937755,0.9431947502205904,0.689338207244873,0.7010952830314636
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,16,tile16_L-1_Havg.png,tile16_L-1_Havg.png,779,779,0.4627451002597809,0.4901960790157318,0.9656648117052078,0.9840791034277012,0.806060771321244,0.7272441983222961,0.7249693870544434
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,17,tile17_L-1_Havg.png,tile17_L-1_Havg.png,779,779,0.4941176474094391,0.4941176474094391,0.994937718446842,0.9848842710755082,0.7221014404246588,0.7360370755195618,0.7095205187797546
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,18,tile18_L-1_Havg.png,tile18_L-1_Havg.png,779,779,0.3960784375667572,0.4901960790157318,0.9896776915205137,0.9691032333004482,0.5719738980165219,0.7249616980552673,0.6896829009056091
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,19,tile19_L-1_Havg.png,tile19_L-1_Havg.png,779,779,0.48627451062202454,0.48235294222831726,0.9960269658773879,0.9943125995909542,0.8601403966396045,0.7359374761581421,0.7174478769302368
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,20,tile20_L-1_Havg.png,tile20_L-1_Havg.png,779,779,0.3450980484485626,0.4901960790157318,0.9578192640246787,0.9792201310813308,0.7852215617519335,0.7249616980552673,0.7221354246139526
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,21,tile21_L-1_Havg.png,tile21_L-1_Havg.png,779,779,0.32549020648002625,0.47843137383461,0.9426587854149604,0.9796887960926062,0.8106956760215001,0.7222656011581421,0.7173177003860474
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,22,tile22_L-1_Havg.png,tile22_L-1_Havg.png,779,779,0.29411765933036804,0.4901960790157318,0.9595017475747354,0.9497347355542869,0.47361225339924623,0.7065027356147766,0.6749770641326904
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,23,tile23_L-1_Havg.png,tile23_L-1_Havg.png,779,779,0.32549020648002625,0.3686274588108063,0.9376673626205216,0.9861219187592728,0.8374047459418856,0.7150735855102539,0.7064567804336548
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,24,tile24_L-1_Havg.png,tile24_L-1_Havg.png,779,779,0.3607843220233917,0.4941176474094391,0.9799585064291965,0.974379119456697,0.7520522388059064,0.7247395515441895,0.7203124761581421
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,25,tile25_L-1_Havg.png,tile25_L-1_Havg.png,779,779,0.3450980484485626,0.4901960790157318,0.9762029922170717,0.9725494137051942,0.7400324824053022,0.7224264144897461,0.7144148349761963
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,26,tile26_L-1_Havg.png,tile26_L-1_Havg.png,779,779,0.4901960790157318,0.4901960790157318,0.9977341675990911,0.9929497708960471,0.822667398463152,0.744416356086731,0.7223957777023315
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,27,tile27_L-1_Havg.png,tile27_L-1_Havg.png,779,779,0.3607843220233917,0.35686275362968445,0.9905708414559992,0.9856344621397601,0.7775780585537113,0.6903722286224365,0.646369457244873
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,28,tile28_L-1_Havg.png,tile28_L-1_Havg.png,779,779,0.4000000059604645,0.3764705955982208,0.9391883541158228,0.9907924921466297,0.871173719988912,0.7042739391326904,0.6734145879745483
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,29,tile29_L-1_Havg.png,tile29_L-1_Havg.png,779,779,0.4000000059604645,0.3686274588108063,0.942894431984655,0.9901439372781049,0.8712678685463604,0.6941635608673096,0.6755897998809814
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,30,tile30_L-1_Havg.png,tile30_L-1_Havg.png,779,779,0.4274509847164154,0.40392157435417175,0.9545350429519429,0.9961347145754792,0.9569862304138477,0.7140624523162842,0.7035156488418579
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,31,tile31_L-1_Havg.png,tile31_L-1_Havg.png,779,779,0.4941176474094391,0.49803921580314636,0.9854195744849145,0.9840385464589698,0.8282696205250046,0.7334558963775635,0.7320542335510254
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,32,tile32_L-1_Havg.png,tile32_L-1_Havg.png,779,779,0.25882354378700256,0.2862745225429535,0.9265194672080496,0.9926228889385792,0.9277815556833261,0.6570925712585449,0.6734145283699036
TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0_patches_images,musk,hoptimus,33,tile33_L-1_Havg.png,tile33_L-1_Havg.png,779,779,0.26274511218070984,0.29411765933036804,0.9276499115913394,0.9913704893982023,0.9314749070435759,0.6622012853622437,0.6769301891326904
