slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.4431372582912445,0.40392157435417175,0.9907801219759377,0.9941531881345592,0.9443397331458173,0.717409610748291,0.6925168633460999
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.43921568989753723,0.3921568691730499,0.9933178542649558,0.9923919816353026,0.936104420627393,0.7144148349761963,0.6938189268112183
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4470588266849518,0.3921568691730499,0.9773762814312151,0.9906012583183418,0.9210817519002098,0.7153033018112183,0.6916589736938477
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.49803921580314636,0.49803921580314636,0.982028241335045,0.992371173375831,0.8479256504153625,0.7410385608673096,0.729243278503418
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.47843137383461,0.45098039507865906,0.9929503774464811,0.9933105478200944,0.863968045204261,0.7294653654098511,0.7140624523162842
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.45098039507865906,0.3764705955982208,0.9870625089603372,0.9860365247851924,0.9049917516953927,0.716911792755127,0.6791666746139526
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.3607843220233917,0.3686274588108063,0.9948800427130006,0.9953235448456101,0.9413523629769226,0.6732766628265381,0.6812959313392639
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.42352941632270813,0.4000000059604645,0.9943214120337946,0.9948425063853709,0.9353556021979585,0.703010082244873,0.6977864503860474
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.501960813999176,0.4901960790157318,0.9952738855812313,0.9865602306509474,0.6800810826923716,0.7366498112678528,0.6967141628265381
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.3176470696926117,0.3450980484485626,0.9235153854139717,0.9945733254635478,0.9278980465193174,0.7042739391326904,0.7105468511581421
TCGA-KN-8431-01Z-00-DX1.BAEA4392-5CD8-4B28-8A47-E9DCE88F5820_patches_images,musk,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.2862745225429535,0.2980392277240753,0.918762904945447,0.995128654465203,0.9363926255991241,0.6806602478027344,0.6886106133460999
