slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KO-8403-01Z-00-DX1.47C5A937-3397-4313-BE8B-0C6E4B12C301_patches_images,musk,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.43529412150382996,0.4000000059604645,0.971862481275985,0.9939291460012619,0.9324150983071252,0.7083640098571777,0.6891390681266785
TCGA-KO-8403-01Z-00-DX1.47C5A937-3397-4313-BE8B-0C6E4B12C301_patches_images,musk,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.2980392277240753,0.501960813999176,0.9461456954951956,0.9766821862445463,0.8037522091810574,0.7215379476547241,0.7262637615203857
TCGA-KO-8403-01Z-00-DX1.47C5A937-3397-4313-BE8B-0C6E4B12C301_patches_images,musk,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.49803921580314636,0.501960813999176,0.9868268623906427,0.9751295393020426,0.5836761289218173,0.7371323108673096,0.6971737146377563
TCGA-KO-8403-01Z-00-DX1.47C5A937-3397-4313-BE8B-0C6E4B12C301_patches_images,musk,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.34117648005485535,0.47058823704719543,0.926616692016525,0.9899763336827453,0.9248016017852269,0.7226792573928833,0.7400045990943909
TCGA-KO-8403-01Z-00-DX1.47C5A937-3397-4313-BE8B-0C6E4B12C301_patches_images,musk,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.501960813999176,0.501960813999176,0.965976260667951,0.9918730503529887,0.8974639221162085,0.7365349531173706,0.743864893913269
TCGA-KO-8403-01Z-00-DX1.47C5A937-3397-4313-BE8B-0C6E4B12C301_patches_images,musk,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.501960813999176,0.49803921580314636,0.9957534181111691,0.9968618624647992,0.9261150620841374,0.7404181957244873,0.7402880191802979
TCGA-KO-8403-01Z-00-DX1.47C5A937-3397-4313-BE8B-0C6E4B12C301_patches_images,musk,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.42352941632270813,0.40392157435417175,0.9919155099935568,0.9892228806629504,0.8162415408640588,0.7004135847091675,0.6772748231887817
TCGA-KO-8403-01Z-00-DX1.47C5A937-3397-4313-BE8B-0C6E4B12C301_patches_images,musk,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.4431372582912445,0.40784314274787903,0.9933096148744069,0.98655190342199,0.7329939001206146,0.7113741040229797,0.6618566513061523
TCGA-KO-8403-01Z-00-DX1.47C5A937-3397-4313-BE8B-0C6E4B12C301_patches_images,musk,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.501960813999176,0.49803921580314636,0.9963450063525701,0.9973451145191312,0.924146061489682,0.7447993159294128,0.7402880191802979
TCGA-KO-8403-01Z-00-DX1.47C5A937-3397-4313-BE8B-0C6E4B12C301_patches_images,musk,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.3843137323856354,0.5058823823928833,0.9649496326055754,0.974262346997151,0.6437941473258866,0.7264016270637512,0.7098804712295532
