slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.33725491166114807,0.3607843220233917,0.9838540902806501,0.9846322237002403,0.8640943815877706,0.666176438331604,0.6595665216445923
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.35686275362968445,0.3686274588108063,0.9802122796580982,0.9822820984687743,0.7812979049564973,0.6747854948043823,0.6461397409439087
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4117647111415863,0.3764705955982208,0.9867543557538137,0.9901595390968578,0.8544286113438685,0.7006510496139526,0.662568986415863
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.5098039507865906,0.4941176474094391,0.9956331230091573,0.9903175908984172,0.7552031883366186,0.7455499172210693,0.721752405166626
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.2980392277240753,0.3529411852359772,0.9543653115066385,0.9902739033817567,0.9593154700733469,0.6462239623069763,0.6732766628265381
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.49803921580314636,0.4901960790157318,0.9944944392353187,0.9915547173832047,0.866805461884989,0.7365349531173706,0.7285386323928833
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.3607843220233917,0.49803921580314636,0.98026665963572,0.955413448391779,0.4184988556192436,0.7226792573928833,0.6680606603622437
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.49803921580314636,0.49803921580314636,0.9965806529222646,0.9790411328206079,0.6166565839886645,0.7367876768112183,0.693244457244873
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.30980393290519714,0.37254902720451355,0.9897848035976475,0.9597407160168353,0.8202334486393736,0.6479089856147766,0.6621017456054688
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.3843137323856354,0.364705890417099,0.9541362564493829,0.9936870956518199,0.9271413785531853,0.6773897409439087,0.6734834313392639
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.35686275362968445,0.3490196168422699,0.9855547004899141,0.994646946124732,0.9525763451023178,0.6705728769302368,0.6709098815917969
TCGA-KO-8413-01Z-00-DX1.592BC1BB-35B9-4CE1-ACD2-76DD4C4FE7A4_patches_images,musk,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.4941176474094391,0.4901960790157318,0.9996539455969521,0.9975642984535562,0.9314259906942547,0.7356771230697632,0.7357307076454163
