slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,musk,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.4274509847164154,0.37254902720451355,0.9975594925194573,0.987047591528473,0.8509360277113283,0.7026883959770203,0.659589409828186
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,musk,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.47843137383461,0.46666666865348816,0.9995303547387206,0.9931713115405039,0.8335401157981019,0.731809139251709,0.7087852358818054
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,musk,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.45098039507865906,0.4588235318660736,0.9224557997894012,0.9960314085026172,0.9115409916946683,0.7246246933937073,0.7288832664489746
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,musk,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4745098054409027,0.47843137383461,0.9426060533154483,0.9942398827193026,0.9163635612134293,0.7339919805526733,0.7358685731887817
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,musk,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.47843137383461,0.48627451062202454,0.9453613055149537,0.9939146841199178,0.8713277918606309,0.731640636920929,0.7341452240943909
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,musk,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.48627451062202454,0.48235294222831726,0.944130340566969,0.9950094069644216,0.8879476935707461,0.7382276058197021,0.7320542335510254
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,musk,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.4470588266849518,0.43529412150382996,0.9975001689075063,0.9873303036866186,0.7516825170793918,0.712890625,0.6814797520637512
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,musk,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.4313725531101227,0.4313725531101227,0.9959033750191566,0.9813943197533802,0.672128426801802,0.7065869569778442,0.6659926176071167
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,musk,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.32549020648002625,0.45098039507865906,0.9518605367798155,0.9555637956746764,0.44185608711810076,0.7101945281028748,0.6672641038894653
TCGA-KO-8417-01Z-00-DX1.E145D87F-24DC-4336-98BD-2D142079D73D_patches_images,musk,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.25882354378700256,0.3686274588108063,0.9505059809735994,0.9496580664956933,0.4376582092187929,0.6930147409439087,0.6443703770637512
