slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.501960813999176,0.49803921580314636,0.9962939221311679,0.9914324668768334,0.7867528988013746,0.7429687976837158,0.7188419103622437
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.3137255012989044,0.43529412150382996,0.9376409965707656,0.9775955305796922,0.6970868902198827,0.7189568281173706,0.703576922416687
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.501960813999176,0.49803921580314636,0.9881880097092979,0.9908783746185135,0.8678371861047591,0.7386488914489746,0.7323375940322876
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.27450981736183167,0.32549020648002625,1.0,0.9796814748916949,0.9154176473016108,0.6296645402908325,0.646208643913269
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.3843137323856354,0.501960813999176,0.9446230561217848,0.984458210628755,0.8445100466621422,0.7272441983222961,0.7326516509056091
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.27843138575553894,0.3333333432674408,0.9492552414882975,0.9736876370518527,0.6744618091099528,0.6830422878265381,0.6629595756530762
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.26274511218070984,0.32156863808631897,0.943711779527092,0.9614339878955412,0.55498745235961,0.6817325353622437,0.6321691274642944
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.2823529541492462,0.3333333432674408,0.9305254588928566,0.9900833489282681,0.8999320093765261,0.7040671110153198,0.7210171222686768
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.501960813999176,0.49803921580314636,0.9948849863473299,0.9968616514972614,0.931201041644693,0.7456724643707275,0.7403186559677124
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.4941176474094391,0.4901960790157318,0.9903566173017314,0.9967796519682852,0.9149646404690678,0.7365348935127258,0.7361060380935669
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.4901960790157318,0.48235294222831726,0.9878386595500304,0.9960261448793823,0.9024147323060996,0.7364583015441895,0.7333486080169678
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.43921568989753723,0.41960784792900085,0.9991084979426241,0.9955172914505179,0.9220036596522372,0.7091069221496582,0.7012101411819458
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.501960813999176,0.4941176474094391,0.9980011238528709,0.9877702103780438,0.7448513354610495,0.741291344165802,0.7098575234413147
TCGA-UW-A72J-01Z-00-DX1.B62772BA-DC29-40C9-B5C8-AC47AFA0437D_patches_images,musk,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.4117647111415863,0.45098039507865906,0.9215791286350131,0.9956065505153937,0.9399556954645151,0.7297793626785278,0.7410385608673096
