slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.1764705926179886,0.29019609093666077,0.9276004752480469,0.9780188240956836,0.22429299510266415,0.3960018455982208,0.6892462968826294
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.5254902243614197,0.4156862795352936,0.9925977315309941,0.9766462972153686,0.9407833319187664,0.7523360848426819,0.7054687142372131
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.027450980618596077,0.364705890417099,1.0,0.5589737516150141,0.9157201272148078,0.4282475411891937,0.6752068400382996
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.5254902243614197,0.3529411852359772,1.0,0.9460774446373131,0.9219078112979061,0.7566252946853638,0.662568986415863
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.21960784494876862,0.3490196168422699,0.9561565550119389,0.985523476148357,0.8852246428855554,0.7074601650238037,0.6769760847091675
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.2235294133424759,0.250980406999588,0.9319212116518165,0.987502862704059,0.9749989005672001,0.6225260496139526,0.5320082902908325
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.19607843458652496,0.23529411852359772,0.9525888989043259,0.9666345189273273,0.9545757895415649,0.6106158494949341,0.6383578777313232
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.1921568661928177,0.23529411852359772,0.9640251729860045,0.9683972789246025,0.9637252771135663,0.602458655834198,0.6393612027168274
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.21176470816135406,0.16862745583057404,0.9237015956403737,0.9806042930364025,0.8513036132549197,0.632651686668396,0.6299096345901489
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.027450980618596077,0.364705890417099,1.0,0.5589737516150141,0.9157201272148078,0.4282475411891937,0.6752068400382996
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.529411792755127,0.47843137383461,0.9399595610711867,0.9914105055888918,0.9085618859302194,0.754067063331604,0.7282781600952148
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.1921568661928177,0.24313725531101227,0.9384336259415563,0.988922368314385,0.9195275966113746,0.6644377708435059,0.6782398819923401
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.15294118225574493,0.25882354378700256,0.9341392555875427,0.9496749706365453,0.7973011617514927,0.6158777475357056,0.6283930540084839
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,13,tile13_L-1_Havg.png,tile13_L-1_Havg.png,779,779,0.18039216101169586,0.20392157137393951,0.9289369043950557,0.9908269967948186,0.9899754409465293,0.6071078777313232,0.556204080581665
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,14,tile14_L-1_Havg.png,tile14_L-1_Havg.png,779,779,0.1921568661928177,0.2078431397676468,0.9472168162665344,0.988318779589045,0.9822015970936679,0.6094133257865906,0.6145220994949341
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,15,tile15_L-1_Havg.png,tile15_L-1_Havg.png,779,779,0.23529411852359772,0.3294117748737335,0.963756568854115,0.9437288475557661,0.8431859610679522,0.6369255781173706,0.6737591624259949
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,16,tile16_L-1_Havg.png,tile16_L-1_Havg.png,779,779,0.16078431904315948,0.16078431904315948,0.9830153203227864,0.9530201387601095,0.9086456689685334,0.5984604954719543,0.6347579956054688
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,17,tile17_L-1_Havg.png,tile17_L-1_Havg.png,779,779,0.16470588743686676,0.1568627506494522,0.9893201019706974,0.9567989303394658,0.8473503175082356,0.5972733497619629,0.638219952583313
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,18,tile18_L-1_Havg.png,tile18_L-1_Havg.png,779,779,0.13725490868091583,0.13333334028720856,0.9533156131507264,0.979836101362403,0.9581339066736219,0.5897518396377563,0.5983379483222961
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,19,tile19_L-1_Havg.png,tile19_L-1_Havg.png,779,779,0.14901961386203766,0.21176470816135406,0.9927855896355059,0.9459768385917174,0.7112304957534497,0.6127374172210693,0.5909160375595093
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,20,tile20_L-1_Havg.png,tile20_L-1_Havg.png,779,779,0.22745098173618317,0.38823530077934265,0.9819853965041914,0.9657922392044727,0.8952354663484828,0.6919270753860474,0.7369945049285889
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,21,tile21_L-1_Havg.png,tile21_L-1_Havg.png,779,779,0.5254902243614197,0.3529411852359772,1.0,0.9443883725660251,0.9389207102094272,0.7535616159439087,0.662568986415863
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,22,tile22_L-1_Havg.png,tile22_L-1_Havg.png,779,779,0.45098039507865906,0.364705890417099,0.9969843830591539,0.9749395658331808,0.9575028612147792,0.744753360748291,0.6983609199523926
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,23,tile23_L-1_Havg.png,tile23_L-1_Havg.png,779,779,0.45098039507865906,0.4470588266849518,0.9338311023810191,0.9894337203873274,0.9648681877032167,0.7466145753860474,0.682812511920929
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,24,tile24_L-1_Havg.png,tile24_L-1_Havg.png,779,779,0.35686275362968445,0.3686274588108063,0.9218131273265979,0.9938817256276751,0.9409430438841205,0.7258272171020508,0.6812576651573181
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,25,tile25_L-1_Havg.png,tile25_L-1_Havg.png,779,779,0.4117647111415863,0.40784314274787903,0.9184036675175211,0.9933324352969527,0.9587139598489791,0.739797830581665,0.5856847763061523
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,26,tile26_L-1_Havg.png,tile26_L-1_Havg.png,779,779,0.4156862795352936,0.4627451002597809,0.9563905537035237,0.9863356143417064,0.9462946166567843,0.7388174533843994,0.686933159828186
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,27,tile27_L-1_Havg.png,tile27_L-1_Havg.png,779,779,0.5254902243614197,0.37254902720451355,0.9992238494103068,0.9606065793944523,0.8523918915021432,0.7524969577789307,0.6637408137321472
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,28,tile28_L-1_Havg.png,tile28_L-1_Havg.png,779,779,0.5254902243614197,0.37254902720451355,1.0,0.9567884919182439,0.9111757271876344,0.7519147992134094,0.6703431606292725
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,29,tile29_L-1_Havg.png,tile29_L-1_Havg.png,779,779,0.027450980618596077,0.364705890417099,1.0,0.5589737516150141,0.9157201272148078,0.4282475411891937,0.6752068400382996
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,30,tile30_L-1_Havg.png,tile30_L-1_Havg.png,779,779,0.25882354378700256,0.3450980484485626,0.968540359006725,0.950806614325083,0.7960324940531578,0.6396062970161438,0.6692478656768799
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,31,tile31_L-1_Havg.png,tile31_L-1_Havg.png,779,779,0.1568627506494522,0.1725490242242813,0.9445225355570899,0.9890825124813065,0.9878471255276099,0.6004135608673096,0.620818018913269
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,32,tile32_L-1_Havg.png,tile32_L-1_Havg.png,779,779,0.21176470816135406,0.2980392277240753,0.9469976484779374,0.9707016253274685,0.978376470068955,0.6209099292755127,0.620312511920929
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,33,tile33_L-1_Havg.png,tile33_L-1_Havg.png,779,779,0.239215686917305,0.2980392277240753,0.9319492255796823,0.9832724705702217,0.983825160860774,0.6416820287704468,0.6119178533554077
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,34,tile34_L-1_Havg.png,tile34_L-1_Havg.png,779,779,0.22745098173618317,0.27450981736183167,0.9302403759798695,0.9851771387315257,0.9793596978497223,0.6220128536224365,0.6525352597236633
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,35,tile35_L-1_Havg.png,tile35_L-1_Havg.png,779,779,0.18431372940540314,0.1764705926179886,0.9416519318899019,0.9774680980585837,0.9498013259217781,0.6042739152908325,0.5983685851097107
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,36,tile36_L-1_Havg.png,tile36_L-1_Havg.png,779,779,0.1921568661928177,0.20392157137393951,0.9563378216040116,0.9711743729974158,0.9724756557591705,0.6064261794090271,0.6243106722831726
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,37,tile37_L-1_Havg.png,tile37_L-1_Havg.png,779,779,0.1921568661928177,0.1725490242242813,0.9275905879793883,0.9924232426643386,0.9862980181060806,0.6106158494949341,0.6088005304336548
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,38,tile38_L-1_Havg.png,tile38_L-1_Havg.png,779,779,0.1725490242242813,0.21176470816135406,0.9627975037942393,0.9569520969266113,0.8914914150145873,0.5984604954719543,0.6242340803146362
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,39,tile39_L-1_Havg.png,tile39_L-1_Havg.png,779,779,0.1764705926179886,0.19607843458652496,0.963478077453567,0.9862783265467986,0.9955097550570267,0.6107536554336548,0.5728477239608765
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,40,tile40_L-1_Havg.png,tile40_L-1_Havg.png,779,779,0.14901961386203766,0.2549019753932953,0.938555568921678,0.9408803097713576,0.7467140439361799,0.6143995523452759,0.6184512972831726
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,41,tile41_L-1_Havg.png,tile41_L-1_Havg.png,779,779,0.10980392247438431,0.21176470816135406,0.9354559101972345,0.9401415546049525,0.795596863617534,0.606089174747467,0.6091452836990356
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,42,tile42_L-1_Havg.png,tile42_L-1_Havg.png,779,779,0.1921568661928177,0.30980393290519714,0.9453876715647097,0.94136319457067,0.91450197477639,0.6234451532363892,0.667356014251709
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,43,tile43_L-1_Havg.png,tile43_L-1_Havg.png,779,779,0.13333334028720856,0.29019609093666077,0.9788115832648091,0.9112277877856364,0.9040696489009395,0.6074907779693604,0.6751608848571777
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,44,tile44_L-1_Havg.png,tile44_L-1_Havg.png,779,779,0.2235294133424759,0.27843138575553894,0.9540604540563343,0.9590696103011339,0.9608329631514609,0.6245404481887817,0.667187511920929
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,45,tile45_L-1_Havg.png,tile45_L-1_Havg.png,779,779,0.18039216101169586,0.2078431397676468,0.9349022231523578,0.9863045354140519,0.9907939132571011,0.6157552003860474,0.630974292755127
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,46,tile46_L-1_Havg.png,tile46_L-1_Havg.png,779,779,0.1725490242242813,0.24705882370471954,0.931525720905476,0.9709176413802582,0.9629621591117687,0.6125229597091675,0.657475471496582
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,47,tile47_L-1_Havg.png,tile47_L-1_Havg.png,779,779,0.16862745583057404,0.21176470816135406,0.9365006649188173,0.958759924195863,0.9050291872473257,0.6123697757720947,0.618412971496582
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,48,tile48_L-1_Havg.png,tile48_L-1_Havg.png,779,779,0.09019608050584793,0.27450981736183167,0.9515227217673163,0.8923497931313354,0.8537130094918218,0.5788296461105347,0.6366498470306396
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,49,tile49_L-1_Havg.png,tile49_L-1_Havg.png,779,779,0.07450980693101883,0.2078431397676468,0.9867312854602771,0.9242927264705394,0.9509707727528568,0.5298483371734619,0.6066253185272217
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,50,tile50_L-1_Havg.png,tile50_L-1_Havg.png,779,779,0.13333334028720856,0.239215686917305,0.9693824247208083,0.9567703389821054,0.3252144896577127,0.4050091803073883,0.6848575472831726
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,51,tile51_L-1_Havg.png,tile51_L-1_Havg.png,779,779,0.5254902243614197,0.4117647111415863,0.9847801977783307,0.976213489978316,0.9474977563142712,0.7522135972976685,0.6829733848571777
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,52,tile52_L-1_Havg.png,tile52_L-1_Havg.png,779,779,0.4470588266849518,0.4313725531101227,0.9182141615348995,0.9927292921324518,0.9584238454969839,0.7444852590560913,0.6677236557006836
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,53,tile53_L-1_Havg.png,tile53_L-1_Havg.png,779,779,0.11764705926179886,0.18039216101169586,0.9290687346438359,0.9916655021010929,0.2681993727639134,0.3827665448188782,0.5703125
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,54,tile54_L-1_Havg.png,tile54_L-1_Havg.png,779,779,0.16470588743686676,0.239215686917305,0.9345545208712002,0.99135676124066,0.25313774687366364,0.42223498225212097,0.5448299646377563
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,55,tile55_L-1_Havg.png,tile55_L-1_Havg.png,779,779,0.529411792755127,0.46666666865348816,0.9642855377273454,0.9928204137822952,0.9999999999998873,0.7455422878265381,0.6592218279838562
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,56,tile56_L-1_Havg.png,tile56_L-1_Havg.png,779,779,0.1764705926179886,0.20000000298023224,0.9644750437099668,0.979342791161875,0.957578030587057,0.6053538918495178,0.6259114742279053
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,57,tile57_L-1_Havg.png,tile57_L-1_Havg.png,779,779,0.16470588743686676,0.22745098173618317,0.9330335293758991,0.94192734773859,0.7659658333923984,0.5899510383605957,0.5778186321258545
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,58,tile58_L-1_Havg.png,tile58_L-1_Havg.png,779,779,0.20000000298023224,0.29019609093666077,0.9760250213812185,0.9258101926145326,0.903018534145233,0.6156939268112183,0.6750383377075195
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,59,tile59_L-1_Havg.png,tile59_L-1_Havg.png,779,779,0.20392157137393951,0.23529411852359772,0.9432701481936784,0.9727043597100258,0.9218982275585091,0.6145220994949341,0.632927417755127
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,60,tile60_L-1_Havg.png,tile60_L-1_Havg.png,779,779,0.18431372940540314,0.24313725531101227,0.9924873236976407,0.9100009005548703,0.9913144569019338,0.598828136920929,0.6655560731887817
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,61,tile61_L-1_Havg.png,tile61_L-1_Havg.png,779,779,0.1725490242242813,0.18039216101169586,0.9311829622586476,0.9856154040866917,0.9762869346953877,0.6006433963775635,0.603676438331604
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,62,tile62_L-1_Havg.png,tile62_L-1_Havg.png,779,779,0.1764705926179886,0.18431372940540314,0.9224788700829377,0.9787945502304807,0.9189013423295243,0.6006433963775635,0.5899510383605957
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,63,tile63_L-1_Havg.png,tile63_L-1_Havg.png,779,779,0.18431372940540314,0.18431372940540314,0.955372165031697,0.9784708951553103,0.9471253190712545,0.5965456366539001,0.6040134429931641
TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4_patches_images,musk,hoptimus,64,tile64_L-1_Havg.png,tile64_L-1_Havg.png,779,779,0.18039216101169586,0.18039216101169586,0.9266364665538419,0.9834262610362642,0.9773090444230307,0.6076133251190186,0.620818018913269
