slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538_patches_images,musk,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.45098039507865906,0.4431372582912445,0.9991645257983558,0.981180140893922,0.62540638509435,0.7162607312202454,0.6736672520637512
TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538_patches_images,musk,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.45490196347236633,0.43921568989753723,0.9967685110267763,0.9930697370266176,0.8612244105192809,0.71875,0.7046874761581421
TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538_patches_images,musk,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.5058823823928833,0.49803921580314636,0.9972167338726289,0.9929547926127065,0.8071495937317898,0.7451286315917969,0.7261488437652588
TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538_patches_images,musk,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4470588266849518,0.42352941632270813,0.9946328609965378,0.9960472673242555,0.9319545593071522,0.7198989391326904,0.7044883966445923
TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538_patches_images,musk,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.4901960790157318,0.46666666865348816,0.9924329437200189,0.9920769122695722,0.8051825420604141,0.7358685731887817,0.7102558612823486
TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538_patches_images,musk,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.501960813999176,0.49803921580314636,0.9707748817235486,0.9914073022295928,0.8183940716677754,0.739797830581665,0.727902889251709
TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538_patches_images,musk,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.2823529541492462,0.4745098054409027,0.957484744768399,0.9657438952123715,0.7304890567896579,0.7126991748809814,0.7123544812202454
TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538_patches_images,musk,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.2980392277240753,0.49803921580314636,0.9635472883341765,0.9596739773232402,0.5565286922624872,0.7164062261581421,0.6874770522117615
TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538_patches_images,musk,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.501960813999176,0.49803921580314636,0.972121198139216,0.9906359669875429,0.8652746609424465,0.7386488914489746,0.7358685731887817
TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538_patches_images,musk,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.501960813999176,0.4901960790157318,0.9971771847979949,0.993059533105759,0.81543667359354,0.7450673580169678,0.7242876887321472
