slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.40784314274787903,0.3843137323856354,0.999415003271038,0.9631549351799426,0.4502332854408333,0.6994102001190186,0.6073147058486938
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.4901960790157318,0.46666666865348816,0.9982878546439677,0.993790479140761,0.8509278627491556,0.7375153303146362,0.7166590094566345
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.4941176474094391,0.4745098054409027,0.9997182128432324,0.9941493185663953,0.8638922984003679,0.7371323108673096,0.725681722164154
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4941176474094391,0.4901960790157318,0.9981214189548827,0.995936179630463,0.8644358310121673,0.7385263442993164,0.7249540090560913
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.3333333432674408,0.3960784375667572,0.935857992456014,0.9863602061177908,0.8394180620367034,0.7126991748809814,0.7125918865203857
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.3333333432674408,0.3607843220233917,0.9320431546319382,0.9925840690107451,0.9242273180457664,0.7028109431266785,0.7176087498664856
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.49803921580314636,0.501960813999176,0.9820776776783375,0.9860257434477783,0.8098603751903029,0.7386182546615601,0.726677417755127
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.45490196347236633,0.4431372582912445,0.9990310476714659,0.9929238337196016,0.8884636577667797,0.7210094928741455,0.7087545990943909
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.32156863808631897,0.4274509847164154,0.9584075565098601,0.9508239708491588,0.37550765125295515,0.710324764251709,0.6573989391326904
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.35686275362968445,0.40784314274787903,0.9401754331035642,0.9875748978799044,0.859896636316834,0.7126991748809814,0.7153493165969849
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,10,tile10_L-1_Havg.png,tile10_L-1_Havg.png,779,779,0.32549020648002625,0.42352941632270813,0.9534836967179212,0.9639625277775287,0.48847386819450844,0.7101945281028748,0.6644377708435059
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,11,tile11_L-1_Havg.png,tile11_L-1_Havg.png,779,779,0.3490196168422699,0.3803921639919281,0.925613134247686,0.9928092090315134,0.9195085281765857,0.7101945281028748,0.7176087498664856
TCGA-UW-A7GR-11Z-00-DX1.33EC231A-1C19-48A5-B37E-14C79191DDD6_patches_images,musk,hoptimus,12,tile12_L-1_Havg.png,tile12_L-1_Havg.png,779,779,0.43529412150382996,0.3529411852359772,0.9998450994576833,0.9842230732611339,0.9342519726514191,0.7098575234413147,0.66796875
