slide,modelA,modelB,tile_id,fileA,fileB,H,W,fg_thresh_A,fg_thresh_B,fg_frac,soft_dice,hard_dice,hard_thr_A,hard_thr_B
TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9_patches_images,musk,hoptimus,0,tile0_L-1_Havg.png,tile0_L-1_Havg.png,779,779,0.27450981736183167,0.3450980484485626,1.0,0.9518255418291623,0.8372624363899926,0.6328125,0.6471353769302368
TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9_patches_images,musk,hoptimus,1,tile1_L-1_Havg.png,tile1_L-1_Havg.png,779,779,0.027450980618596077,0.32549020648002625,1.0,0.6128547278732057,0.9325621746673398,0.4282475411891937,0.662109375
TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9_patches_images,musk,hoptimus,2,tile2_L-1_Havg.png,tile2_L-1_Havg.png,779,779,0.3921568691730499,0.3450980484485626,1.0,0.9917062107431863,0.9434957922397473,0.6894607543945312,0.6661535501480103
TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9_patches_images,musk,hoptimus,3,tile3_L-1_Havg.png,tile3_L-1_Havg.png,779,779,0.4431372582912445,0.3607843220233917,1.0,0.9826546990312921,0.9006906357910928,0.7084865570068359,0.6616652011871338
TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9_patches_images,musk,hoptimus,4,tile4_L-1_Havg.png,tile4_L-1_Havg.png,779,779,0.501960813999176,0.49803921580314636,0.9957633053798277,0.9875123341844234,0.7130004895547689,0.7397288680076599,0.7088771462440491
TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9_patches_images,musk,hoptimus,5,tile5_L-1_Havg.png,tile5_L-1_Havg.png,779,779,0.501960813999176,0.49803921580314636,0.9921181990010562,0.9808784027480005,0.6036032970099166,0.7402267456054688,0.7047793865203857
TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9_patches_images,musk,hoptimus,6,tile6_L-1_Havg.png,tile6_L-1_Havg.png,779,779,0.501960813999176,0.4941176474094391,0.9431284306762397,0.995606706517428,0.8977355291837312,0.7373391389846802,0.7371323108673096
TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9_patches_images,musk,hoptimus,7,tile7_L-1_Havg.png,tile7_L-1_Havg.png,779,779,0.4941176474094391,0.4901960790157318,0.9478248832890329,0.9966295201170219,0.9276456866702657,0.7356771230697632,0.7409390211105347
TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9_patches_images,musk,hoptimus,8,tile8_L-1_Havg.png,tile8_L-1_Havg.png,779,779,0.48627451062202454,0.49803921580314636,0.9495683383291504,0.9904557707519626,0.805491119970931,0.734941840171814,0.7257582545280457
TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9_patches_images,musk,hoptimus,9,tile9_L-1_Havg.png,tile9_L-1_Havg.png,779,779,0.501960813999176,0.4901960790157318,0.9958259247479982,0.996065642956637,0.8986735035112232,0.7434512972831726,0.7348728179931641
