x,y,cosine,corr,l2,l1,label
1024,40960,0.83948535,0.8394561,23.183504,559.601,0
1024,41984,0.8632251,0.86318564,19.94046,485.278,0
1024,43008,0.8728274,0.87274104,19.193878,467.65424,0
1024,44032,0.83037585,0.83024883,22.154734,548.949,0
1024,45056,0.7954171,0.79532945,25.469791,614.0999,0
2048,39936,0.90338796,0.90337056,16.87952,405.92303,0
2048,40960,0.89078593,0.89076346,18.189886,442.81076,0
2048,41984,0.8737878,0.8737681,18.830692,443.57922,0
2048,43008,0.8970518,0.89705205,17.417307,412.1987,0
2048,44032,0.8705704,0.8705634,18.966818,448.55423,0
2048,45056,0.8677519,0.86772996,19.44736,468.91602,0
2048,46080,0.8568577,0.85683805,20.730679,497.63165,0
2048,47104,0.8721199,0.87209326,19.230793,468.56976,0
2048,48128,0.8448436,0.8448106,21.244247,503.30988,0
2048,49152,0.8307908,0.8307374,22.219158,533.3404,0
2048,50176,0.85723925,0.85720277,20.978544,506.47845,0
3072,35840,0.8165665,0.8165232,24.768944,576.4289,0
3072,36864,0.829764,0.8296397,22.22033,542.27386,0
3072,37888,0.8689845,0.86889946,19.271791,469.32083,0
3072,38912,0.8527366,0.852698,20.389025,487.82855,0
3072,39936,0.87436676,0.87433,19.026684,456.10278,0
3072,40960,0.85148954,0.8514686,19.953835,469.7939,0
3072,41984,0.8707836,0.8707852,18.744484,438.5927,0
3072,43008,0.80983394,0.80983716,22.589159,527.0584,0
3072,44032,0.8783895,0.8783879,18.238134,427.45892,0
3072,45056,0.85589117,0.855891,20.035454,464.12762,0
3072,46080,0.8400595,0.8400598,21.026733,493.6826,0
3072,47104,0.80004287,0.80004376,24.143085,566.7725,0
3072,48128,0.8722583,0.87225974,19.076271,457.60016,0
3072,49152,0.8482026,0.84819627,21.023714,498.31534,0
3072,50176,0.87758416,0.8775685,18.455887,443.60406,0
3072,51200,0.8940182,0.8939866,17.506723,422.48273,0
3072,52224,0.8910362,0.8909947,18.383114,446.66806,0
3072,53248,0.8560842,0.8559863,20.93687,500.0425,0
4096,28672,0.8264757,0.8263941,23.18028,561.91833,0
4096,29696,0.7879209,0.78786945,25.816355,601.60046,0
4096,30720,0.85890526,0.8588005,21.118397,508.59906,0
4096,31744,0.83118254,0.83115077,21.727032,527.68054,0
4096,32768,0.8746628,0.8745819,18.987364,465.00876,0
4096,33792,0.87008137,0.87002206,19.58768,463.90143,0
4096,34816,0.8854488,0.8854389,18.3426,444.38217,0
4096,35840,0.88595486,0.8859369,17.992874,432.17624,0
4096,36864,0.88672876,0.88672626,18.401102,430.9776,0
4096,37888,0.9200983,0.9200985,14.8674135,350.80157,0
4096,38912,0.87056535,0.8705658,18.827726,430.65308,0
4096,39936,0.86408514,0.8640872,19.258194,450.4408,0
4096,40960,0.86781937,0.8678195,18.461605,435.5866,0
4096,41984,0.8257077,0.8257076,22.606497,535.28015,0
4096,43008,0.7967782,0.7967762,23.76056,548.876,0
4096,44032,0.8326716,0.83267254,21.732817,507.1333,0
4096,45056,0.85083413,0.85083437,20.739302,483.05753,0
4096,46080,0.8671703,0.8671699,19.75678,463.8324,0
4096,47104,0.8808102,0.88081217,18.021568,429.9003,0
4096,48128,0.8318823,0.83188075,21.76648,522.56384,0
4096,49152,0.83210707,0.8321094,21.546724,507.11014,0
4096,50176,0.8254692,0.82547235,22.689346,525.431,0
4096,51200,0.83641994,0.83642054,21.681412,509.4961,0
4096,52224,0.88088703,0.88088614,18.693085,441.4375,0
4096,53248,0.8888549,0.888841,17.99617,431.7196,0
4096,54272,0.8917358,0.89169675,17.345543,417.44135,0
4096,55296,0.8822916,0.8822444,18.514454,457.78595,0
4096,56320,0.8994986,0.8994631,17.266827,428.022,0
4096,57344,0.8957789,0.8957536,17.503353,428.8731,0
4096,58368,0.8708165,0.87078965,20.506739,492.3189,0
5120,24576,0.84089154,0.840843,23.08541,563.1359,0
5120,25600,0.8934272,0.8933687,18.160349,448.05444,0
5120,26624,0.8862438,0.88624644,18.267033,440.7847,0
5120,27648,0.8764028,0.8763826,19.364485,468.06177,0
5120,28672,0.861088,0.86106384,20.270248,475.79947,0
5120,29696,0.9000416,0.9000154,16.554367,394.9736,0
5120,30720,0.8669916,0.8669945,18.757425,437.96112,0
5120,31744,0.64372635,0.64358246,32.27728,750.95856,0
5120,32768,0.8550287,0.85502994,20.097294,471.98923,0
5120,33792,0.8611411,0.8611381,19.617441,448.95026,0
5120,34816,0.8663594,0.8663584,19.427616,451.7246,0
5120,35840,0.8559505,0.85595083,19.801395,454.82275,0
5120,36864,0.8824684,0.8824675,17.7985,415.57266,0
5120,37888,0.85152644,0.85152507,20.483736,467.33105,0
5120,38912,0.82811475,0.82811046,21.690361,504.23596,0
